# Notes : All Entities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.S083_2017_Jun_06_19_20_39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Owner : gxuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Created On : Tue Jun 06 19:27:02 EDT 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,MZ002H-Pool01-P008B3-S083-T00(raw),MZ002H-Pool01-P008B3-S083-T12(raw),MZ002H-Pool02-P008B3-S083-T00(raw),MZ002H-Pool02-P008B3-S083-T12(raw),MZ002H-Pool03-P008B3-S083-T00(raw),MZ002H-Pool03-P008B3-S083-T12(raw),MZ002H-Pool04-P008B3-S083-T00(raw),MZ002H-Pool04-P008B3-S083-T12(raw),MZ002H-Pool05-P008B3-S083-T00(raw),MZ002H-Pool05-P008B3-S083-T12(raw),MZ002H-Pool06-P008B3-S083-T00(raw),MZ002H-Pool06-P008B3-S083-T12(raw),MZ002H-Pool07-P008B3-S083-T00(raw),MZ002H-Pool07-P008B3-S083-T12(raw),MZ002H-Pool08-P008B3-S083-T00(raw),MZ002H-Pool08-P008B3-S083-T12(raw),MZ002H-Pool09-P008B3-S083-T00(raw),MZ002H-Pool09-P008B3-S083-T12(raw),MZ002H-Pool10-P008B3-S083-T00(raw),MZ002H-Pool10-P008B3-S083-T12(raw),MZ002H-Pool11-P008B3-S083-T00(raw),MZ002H-Pool11-P008B3-S083-T12(raw),MZ002H-Pool12-P008B3-S083-T00(raw),MZ002H-Pool12-P008B3-S083-T12(raw),MZ002H-Pool13-P008B3-S083-T00(raw),MZ002H-Pool13-P008B3-S083-T12(raw),MZ002H-Pool14-P008B3-S083-T00(raw),MZ002H-Pool14-P008B3-S083-T12(raw),MZ002H-Pool15-P008B3-S083-T00(raw),MZ002H-Pool15-P008B3-S083-T12(raw),MZ002H-Pool16-P008B3-S083-T00(raw),MZ002H-Pool16-P008B3-S083-T12(raw),MZ002H-Pool17-P008B3-S083-T00(raw),MZ002H-Pool17-P008B3-S083-T12(raw),MZ002H-Pool18-P008B3-S083-T00(raw),MZ002H-Pool18-P008B3-S083-T12(raw),MZ002H-Pool19-P008B3-S083-T00(raw),MZ002H-Pool19-P008B3-S083-T12(raw),MZ002H-Pool20-P008B3-S083-T00(raw),MZ002H-Pool20-P008B3-S083-T12(raw),MZ002H-Pool21-P008B3-S083-T00(raw),MZ002H-Pool21-P008B3-S083-T12(raw),MZ002H-Pool97-P008B3-S083-T00(raw),MZ002H-Pool97-P008B3-S083-T12(raw),MZ002H-Pool98-P008B3-S083-T00(raw),MZ002H-Pool98-P008B3-S083-T12(raw),MZ002H-Pool99-P008B3-S083-T00(raw),MZ002H-Pool99-P008B3-S083-T12(raw),Compound Name,Mass,Retention Time,Frequency,Ionization mode,CompositeSpectrum
117.0791@0.30166665,1,1,1,1,1,1,1,1,149165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,290289,1,1,1,240723,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,117.0791@0.30166665,117.0791,0.30166665,3,+,"(118.0863, 70542.5)(119.0892, 3003.06)"
223.1259@0.36314282,1,20709,1,1,1,1,1,35635,1,1,1,1,1,23882,1,1,1,1,1,1,1,1,1,1,1,1,25135,1,26702,37406,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24181,1,1,1,223.1259@0.36314282,223.1259,0.36314282,7,+,"(224.129, 9036.43)(225.1323, 1249.2)(226.119, 1603.03)(262.0882, 11015.03)"
148.9455@0.34019998,1,22832,21694,1,1,1,18712,16618,1,1,18738,17053,19891,16092,1,1,1,17278,1,1,1,18015,1,16830,1,18004,1,1,21957,18045,1,1,1,1,19225,1,1,19068,19673,1,1,1,19873,17087,1,1,18579,1,148.9455@0.34019998,148.9455,0.34019998,20,+,"(149.9529, 6555.9)(150.9514, 7.84)(151.9498, 4829.88)(152.9495, 7.84)(153.9492, 6332.79)"
155.0698@0.35372224,1,156235,1,1,1,111854,106277,99505,1,1,1,1,106537,102363,109875,100940,1,1,1,1,1,1,1,1,1,1,1,148962,113958,98418,1,98150,1,1,1,1,111561,100656,1,96687,1,1,113408,1,1,126238,105538,1,155.0698@0.35372224,155.0698,0.35372224,18,+,"(178.0586, 6080.13)(179.0617, 772.29)(156.0766, 121342.26)(157.08, 5436.14)(194.0326, 10854.08)(195.0354, 954.54)(196.0311, 782.51)"
247.1532@0.34683335,1,51045,1,1,1,1,1,1,1,1,1,1,1,1,1,32967,1,1,1,1,32572,1,31545,1,1,1,1,1,44117,1,1,1,1,1,1,1,1,1,1,1,39783,1,1,1,1,1,1,1,247.1532@0.34683335,247.1532,0.34683335,6,+,"(270.1413, 2842.79)(271.1429, 518.51)(248.1605, 32960.27)(249.1632, 3633.81)(286.1172, 2682.2)"
145.1581@0.35339996,488450,1,406223,1,293605,1,327327,255641,1,1,1,1,323686,284565,326484,1,1,344645,1,1,1,1,1,1,1,1,1,1,380350,272759,382179,337493,1,1,1,1,393871,1,1,332769,1,421348,437872,1,1,438941,389760,346220,145.1581@0.35339996,145.1581,0.35339996,20,+,"(168.1461, 1264.94)(146.1653, 223809.64)(147.1681, 17519.52)(148.1713, 683.36)"
128.131@0.35307693,1,1,1,94045,1,1,75903,60931,117855,1,1,1,1,1,1,67024,1,1,1,1,81541,1,1,1,1,1,1,1,91750,67813,88860,1,116426,1,1,1,1,1,97592,1,1,1,103837,1,1,100805,1,1,128.131@0.35307693,128.131,0.35307693,13,+,"(129.1387, 54751.35)(130.1421, 5179.89)(167.0923, 5738.06)(168.1018, 1604.38)"
307.2108@0.35229167,116292,113252,127855,125467,113146,95025,124338,92324,132095,96930,132677,104737,119976,94797,113774,92827,148024,102377,132922,103549,126189,93575,126868,93979,149510,106194,136776,108280,144627,101835,139652,111803,140033,116176,142564,110274,144385,108386,140187,115279,147896,131099,149683,125382,143852,133839,142392,126381,307.2108@0.35229167,307.2108,0.35229167,48,+,"(330.1995, 793.66)(308.2181, 70436.33)(309.2208, 9268.7)(310.2228, 1193.8)(346.1734, 1716.02)"
111.1045@0.35234046,56698,45658,49241,46020,33535,33644,36965,28697,56485,41827,53113,42232,37089,31689,39198,31488,49756,43351,53709,43430,38645,1,42539,35073,64118,44465,52618,41662,44379,33960,43422,37444,57576,47817,58460,46301,44900,35186,45149,38078,61952,51135,48867,40575,61286,53950,46423,40080,111.1045@0.35234046,111.1045,0.35234046,47,+,"(112.1117, 33016.04)(113.115, 2384.13)"
168.0875@0.35943174,114098,427101,128359,131373,144456,131724,1,143916,148501,130443,411902,133218,145684,1,139639,26578,146878,388052,140739,135413,49049,64415,341122,123172,66118,137526,397709,369763,154642,151704,138831,136056,134538,303216,417163,369187,1,133413,135223,143822,1,128806,134254,145102,400854,412771,136706,160659,168.0875@0.35943174,168.0875,0.35943174,44,+,"(191.0768, 32337.81)(192.0801, 2148.45)(359.1625, 1156.45)(169.095, 35699.93)(170.0983, 3015.59)(171.1013, 2378.94)(207.0511, 106481.9)(208.0543, 6841.05)(209.0492, 6853.69)(210.0527, 479.69)(375.1361, 2740.14)(376.1404, 510.25)(377.1388, 516.44)(337.1769, 632.9)"
