Sample,Var2,Var3,Var4,Var5,Var6,Var7,IS_YOHIMBINEResults,Var13,FAMCICLOVIRResults,Var15,IS_CAFFEINEResults,Var17,IS_SULFAMETHOXAZOLEResults,Var19,DILTIAZEMHYDROCHLORIDEResults,Var23,DexamethasoneResults,Var29,NORETHINDRONEACETATEResults,Var37
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
!,!,MZ012D-P2-MV24A-T06,MZ012D-P2-MV24A-T06.d,Sample,,8/3/2018 3:20 PM,1.937,5850488,1.926,1230429,1.937,733679,2.127,2129314,2.754,5037729,3.738,387845,4.577,16949
!,!,MZ012D-P2-MV24B-T06,MZ012D-P2-MV24B-T06.d,Sample,,8/3/2018 3:26 PM,1.949,5474541,1.938,1251628,1.949,660202,2.150,1862444,2.777,5065483,3.761,397297,4.600,5626
!,!,MZ012D-P2-MV24C-T06,MZ012D-P2-MV24C-T06.d,Sample,,8/3/2018 3:32 PM,1.938,5476180,1.927,1154020,1.927,675217,2.128,2002029,2.755,4675624,3.739,342383,4.578,7636
!,!,MZ012D-P2-MV24D-T06,MZ012D-P2-MV24D-T06.d,Sample,,8/3/2018 3:39 PM,1.950,5705364,1.939,1240469,1.950,690916,2.151,2023242,2.778,5005993,3.762,377755,4.601,3675
!,!,MZ012D-P2-MV25A-T06,MZ012D-P2-MV25A-T06.d,Sample,,8/3/2018 4:11 PM,1.937,5552826,1.926,1529676,1.937,703930,2.127,2134590,2.754,4721108,3.738,323559,4.577,334879
!,!,MZ012D-P2-MV25B-T06,MZ012D-P2-MV25B-T06.d,Sample,,8/3/2018 4:18 PM,1.949,5751327,1.938,1726183,1.949,685691,2.150,2178933,2.777,5051150,3.761,361230,4.600,94392
!,!,MZ012D-P2-MV25C-T06,MZ012D-P2-MV25C-T06.d,Sample,,8/3/2018 4:24 PM,1.938,5726551,1.927,1577652,1.927,696392,2.128,2221320,2.755,4654209,3.739,330970,4.578,32622
!,!,MZ012D-P2-MV25D-T06,MZ012D-P2-MV25D-T06.d,Sample,,8/3/2018 4:30 PM,1.949,5456416,1.938,1536884,1.949,639672,2.150,2160351,2.777,4455793,3.761,329827,4.600,12206
!,!,MZ012D-P2-MV26A-T06,MZ012D-P2-MV26A-T06.d,Sample,,8/3/2018 4:37 PM,1.937,4866181,1.926,1186092,1.937,710311,2.127,2372270,2.765,4277249,3.738,298257,4.577,7679
!,!,MZ012D-P2-MV26B-T06,MZ012D-P2-MV26B-T06.d,Sample,,8/3/2018 4:43 PM,1.950,4997868,1.939,1223279,1.950,716122,2.151,2424123,2.778,4529677,3.762,310697,4.601,3199
!,!,MZ012D-P2-MV26C-T06,MZ012D-P2-MV26C-T06.d,Sample,,8/3/2018 4:50 PM,1.937,5049535,1.926,1144609,1.937,731787,2.128,2478477,2.765,4442977,3.738,307595,4.566,4378
!,!,MZ012D-P2-MV26D-T06,MZ012D-P2-MV26D-T06.d,Sample,,8/3/2018 4:56 PM,1.958,5106036,1.936,1190644,1.947,733625,2.149,2470898,2.786,4398332,3.760,311238,4.710,2215
!,!,MZ012D-P2-MV27A-T06,MZ012D-P2-MV27A-T06.d,Sample,,8/3/2018 5:03 PM,1.935,4816779,1.924,1203050,1.935,645402,2.136,1899628,2.763,4712811,3.736,343999,4.575,13328
!,!,MZ012D-P2-MV27B-T06,MZ012D-P2-MV27B-T06.d,Sample,,8/3/2018 5:09 PM,1.958,4674772,1.947,1286629,1.958,595916,2.159,1771922,2.786,4893304,3.759,362239,4.598,17204
!,!,MZ012D-P2-MV27C-T06,MZ012D-P2-MV27C-T06.d,Sample,,8/3/2018 5:16 PM,1.937,4735173,1.926,1188332,1.937,625360,2.128,1861480,2.765,4454791,3.739,322976,4.578,15316
!,!,MZ012D-P2-MV27D-T06,MZ012D-P2-MV27D-T06.d,Sample,,8/3/2018 5:22 PM,1.949,4789300,1.949,1231953,1.949,618802,2.150,1856029,2.777,4598505,3.761,344531,4.600,16357
!,!,MZ012D-P2-MV28A-T06,MZ012D-P2-MV28A-T06.d,Sample,,8/3/2018 5:28 PM,1.927,5781152,1.927,571410,1.927,667787,2.128,2429590,2.755,4752794,3.739,353392,4.578,120188
!,!,MZ012D-P2-MV28B-T06,MZ012D-P2-MV28B-T06.d,Sample,,8/3/2018 5:35 PM,1.950,5512816,1.939,552486,1.950,619654,2.151,2321137,2.778,4562771,3.762,355851,4.601,115047
!,!,MZ012D-P2-MV28C-T06,MZ012D-P2-MV28C-T06.d,Sample,,8/3/2018 5:41 PM,1.936,5520425,1.925,521092,1.936,638969,2.126,2319933,2.764,4504465,3.737,342104,4.576,109554
!,!,MZ012D-P2-MV28D-T06,MZ012D-P2-MV28D-T06.d,Sample,,8/3/2018 5:48 PM,1.959,5581105,1.936,523150,1.959,616196,2.149,2324548,2.786,4612133,3.760,366944,4.599,96252
,!,MZ012D-P2-CTR05A-T06,MZ012D-P2-CTR05A-T06.d,Sample,,8/3/2018 8:03 PM,1.936,3989964,1.924,3310451,1.936,484129,2.126,1075730,2.763,4318754,3.737,412159,4.576,2316729
,,MZ012D-P2-CTR06A-T06,MZ012D-P2-CTR06A-T06.d,Sample,,8/3/2018 8:10 PM,1.958,4028887,1.947,3369059,1.958,489315,2.160,1079881,2.786,4639275,3.759,469369,4.598,2606655
,!,MZ012D-P2-CTR07A-T06,MZ012D-P2-CTR07A-T06.d,Sample,,8/3/2018 8:16 PM,1.935,4162654,1.924,3461402,1.935,496597,2.125,1080617,2.763,4705833,3.736,431776,4.575,2735897
,!,MZ012D-P2-CTR08A-T06,MZ012D-P2-CTR08A-T06.d,Sample,,8/3/2018 8:22 PM,1.948,4137156,1.937,3444596,1.948,494722,2.149,1042007,2.776,5055225,3.760,456307,4.599,3000487
