Sample,Var2,Var3,Var4,Var5,Var6,Var7,FAMCICLOVIR_237_123Results,Var15,IS_CAFFEINEResults,Var39,IS_YOHIMBINEResults,Var41,IS_SULFAMETHOXAZOLEResults,Var45,DILTIAZEMHYDROCHLORIDE_372_151Results,Var57,DEXAMETHASONE_332_179Results,Var121,NORETHINDRONEACETATE_342_221Results,Var157
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
!,!,MZ012D-P1-MV01A-T24,MZ012D-P1-MV01A-T24.d,Sample,,7/27/2018 11:14 PM,0.764,456070,1.939,1225055,1.928,11322184,2.129,4713144,2.465,8545677,3.897,11066,5.273,74608
!,!,MZ012D-P1-MV01B-T24,MZ012D-P1-MV01B-T24.d,Sample,,7/27/2018 11:20 PM,0.784,524184,1.959,1242551,1.970,12093572,2.160,4832846,2.518,8130399,3.916,9022,5.292,122904
!,!,MZ012D-P1-MV01C-T24,MZ012D-P1-MV01C-T24.d,Sample,,7/27/2018 11:27 PM,0.765,344906,1.929,1145281,1.929,10778607,2.130,4409079,2.466,7551980,3.886,8953,5.184,6295
!,!,MZ012D-P1-MV01D-T24,MZ012D-P1-MV01D-T24.d,Sample,,7/27/2018 11:33 PM,0.774,436344,1.959,1190685,1.971,11144130,2.161,4649167,2.519,7499555,3.928,8191,5.304,117845
!,!,MZ012D-P1-MV02A-T24,MZ012D-P1-MV02A-T24.d,Sample,,7/27/2018 11:40 PM,0.763,357860,1.926,1104567,1.938,10438445,2.128,4759275,2.474,3178782,3.895,1936692,5.159,3207
!,!,MZ012D-P1-MV02B-T24,MZ012D-P1-MV02B-T24.d,Sample,,7/27/2018 11:46 PM,0.787,549953,1.962,1192985,1.973,10922345,2.163,4836811,2.521,3189203,3.920,2083552,5.217,3756
!,!,MZ012D-P1-MV02C-T24,MZ012D-P1-MV02C-T24.d,Sample,,7/27/2018 11:52 PM,0.764,427078,1.938,1207403,1.938,11305297,2.129,4907969,2.475,3392464,3.896,2088171,5.272,30406
!,!,MZ012D-P1-MV02D-T24,MZ012D-P1-MV02D-T24.d,Sample,,7/27/2018 11:59 PM,0.787,647422,1.961,1163658,1.972,11040145,2.163,4843582,2.509,3786058,3.919,2293876,5.217,2001
!,!,MZ012D-P1-MV03A-T24,MZ012D-P1-MV03A-T24.d,Sample,,7/28/2018 12:05 AM,0.763,306709,1.938,1262832,1.938,11558428,2.139,5007776,2.475,3732332,3.895,2740104,5.271,19901
!,!,MZ012D-P1-MV03B-T24,MZ012D-P1-MV03B-T24.d,Sample,,7/28/2018 12:12 AM,0.786,378044,1.961,1209271,1.972,11396182,2.162,4884645,2.509,3351986,3.918,2593035,5.294,23664
!,!,MZ012D-P1-MV03C-T24,MZ012D-P1-MV03C-T24.d,Sample,,7/28/2018 12:18 AM,0.763,321090,1.938,1222775,1.938,10789999,2.139,4629687,2.475,3239457,3.895,2403640,5.272,17477
!,!,MZ012D-P1-MV03D-T24,MZ012D-P1-MV03D-T24.d,Sample,,7/28/2018 12:25 AM,0.797,399016,1.961,1209851,1.972,10911979,2.162,4816069,2.520,3147623,3.918,2636192,5.294,19866
!,!,MZ012D-P1-MV04A-T24,MZ012D-P1-MV04A-T24.d,Sample,,7/28/2018 12:31 AM,0.762,311806,1.937,1357989,1.937,12570102,2.138,5002487,2.474,4412056,3.895,1223564,5.170,2374
!,!,MZ012D-P1-MV04B-T24,MZ012D-P1-MV04B-T24.d,Sample,,7/28/2018 12:38 AM,0.785,334021,1.959,1154231,1.970,11276675,2.161,4792462,2.507,4027440,3.928,1230882,5.215,3339
!,!,MZ012D-P1-MV04C-T24,MZ012D-P1-MV04C-T24.d,Sample,,7/28/2018 12:44 AM,0.762,304806,1.936,1181701,1.936,10840332,2.138,4505649,2.473,3893592,3.894,1071696,5.270,30453
!,!,MZ012D-P1-MV04D-T24,MZ012D-P1-MV04D-T24.d,Sample,,7/28/2018 12:51 AM,0.783,386305,1.958,1214754,1.969,11614609,2.159,4680008,2.517,4507475,3.915,1427382,5.291,52993
