Sample,,,,,,,IS_SPARTEINE Results,,TRIMETAZIDINE DIHYDROCHLORIDE Results,,CIMETIDINE Results,,NEOSTIGMINE BROMIDE Results,,RIZATRIPTAN BENZOATE Results,,AZATADINE MALEATE Results,,TINIDAZOLE Results,,ESZOPICLONE Results,,IS_EMETINE Results,,TIMOLOL MALEATE Results,,TACRINE HYDROCHLORIDE Results,,ZIDOVUDINE [AZT] Results,,GUANFACINE HYDROCHLORIDE Results,,IS_CAFFEINE Results,,IS_YOHIMBINE Results,,IS_SULFAMETHOXAZOLE Results,,TAMSULOSIN HYDRCHLORIDE Results,,TERAZOSIN HYDROCHLORIDE Results,,ISRADIPINE Results,,LABETALOL HYDROCHLORIDE Results,,TROSPIUM CHLORIDE Results,,ALFUZOSIN HYDROCHLORIDE Results,,ELETRIPTAN HYDROBROMIDE Results,,BURAMATE Results,,CLOZAPINE Results,,MEMANTINE HYDROCHLORIDE Results,,IS_EYTHROMYCINE Results,,CITALOPRAM HYDROBROMIDE Results,,DEXTROMETHORPHAN HYDROBROMIDE Results,,SPIPERONE Results,,ZIPRASIDONE MESYLATE Results,,TENATOPRAZOLE Results,,CHLORMEZANONE Results,,MYCOPHENOLATE MOFETIL Results,,BIPERIDEN Results,,CLEMIZOLE HYDROCHLORIDE Results,,DARIFENACIN HYDROBROMIDE Results,,TRIMEBUTINE MALEATE Results,,VERAPAMIL HYDROCHLORIDE Results,,CAMYLOFINE DIHYDROCHLORIDE Results,,LETROZOLE Results,,TEGASEROD MALEATE Results,,ANAGRELIDE HYDROCHLORIDE Results,,FEXOFENADINE HYDROCHLORIDE Results,,ANASTROZOLE Results,,CETIRIZINE HYDROCHLORIDE Results,,TRANDOLAPRIL Results,,IS_MIFEPRISTONE Results,,GLIPIZIDE Results,,SULFASALAZINE Results,,TRAZODONE HYDROCHLORIDE Results,,FEBUXOSTAT Results,,IS_IPRIFLAVONE Results,,ITRACONAZOLE Results,,TACROLIMUS Results,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
,!,MZ002H-Pool03-P002B1-S017-T00,MZ002H-Pool03-P002B1-S017-T00.d,Sample,,4/30/16 19:55,1.075,4773690,1.109,2958467,1.142,8131896,1.243,992700,1.332,244796,1.634,57388,1.701,327340,1.892,979570,1.646,7165022,1.936,6064541,2.004,6966323,2.048,22418,2.004,243102,2.015,1898009,2.071,13411677,2.238,4515855,2.294,3208191,2.361,3761241,2.384,5499481,2.395,4557433,2.473,1010240,2.462,13551897,2.496,4402668,2.473,1251398,2.496,3293607,2.54,929868,2.563,3210398,2.664,13779086,2.675,12036635,2.697,5637450,2.798,633911,2.887,978960,2.865,130129,2.91,15946827,2.943,4609958,2.954,9056144,2.999,2147158,3.033,4039374,3.044,9638393,3.111,14805469,3.223,143273,3.256,227494,3.212,893952,3.256,3134965,3.245,8086617,3.659,5246234,3.793,12089057,3.894,5816004,3.984,1246263,4.263,1373108,4.42,153675,4.811,344961,4.845,9481914,5.091,31029,5.248,511138
,!,MZ002H-Pool03-P002B3-S019-T00,MZ002H-Pool03-P002B3-S019-T00.d,Sample,,5/1/16 1:04,1.065,5650674,1.11,4098861,1.143,10343449,1.244,1385243,1.334,383199,1.624,57807,1.703,970600,1.893,932170,1.658,7126152,1.938,8120075,2.005,10267291,2.061,21050,2.005,325627,2.016,2018566,2.072,14491910,2.24,3925022,2.284,4140672,2.351,4702495,2.385,7562516,2.396,6271329,2.475,1337245,2.463,17394806,2.497,6501577,2.486,1323914,2.497,5338341,2.53,1248917,2.564,3992880,2.665,18651610,2.665,17818282,2.698,8479175,2.799,1026003,2.888,571538,2.866,162275,2.911,22975053,2.944,6996046,2.956,14224509,3,3479884,3.023,5506010,3.045,13981181,3.112,22262361,3.224,196271,3.258,356888,3.213,1627728,3.258,4516310,3.246,11474623,3.66,9575217,3.794,19733184,3.906,7569887,3.996,2717978,4.264,2125113,4.421,280330,4.824,642137,4.857,13513729,5.092,69227,5.26,974881
,!,MZ002H-Pool03-P002B1-S020-T00,MZ002H-Pool03-P002B1-S020-T00.d,Sample,,5/1/16 3:39,1.074,5048206,1.108,2640320,1.141,7316440,1.253,977502,1.332,264542,1.634,55727,1.701,858171,1.902,756088,1.667,6059348,1.936,5961424,2.003,7480880,2.059,16139,2.014,238027,2.014,1825082,2.07,11626017,2.238,3118529,2.294,3117257,2.361,3408615,2.383,5505758,2.394,4387487,2.473,940860,2.473,13449698,2.495,4731015,2.484,1130626,2.506,3499919,2.54,784184,2.562,3353279,2.663,14430986,2.674,12863797,2.696,6341041,2.797,992404,2.898,668418,2.875,118094,2.92,17320320,2.942,6244510,2.965,7741627,2.998,2503866,3.032,3661613,3.054,9395358,3.121,15401962,3.222,147383,3.256,243828,3.222,702277,3.256,3304511,3.244,8385898,3.658,6451767,3.793,13808671,3.904,6512283,3.994,1756053,4.274,2018551,4.43,198940,4.822,468982,4.855,8878676,5.101,8008,5.258,507480
!,!,MZ002H-Pool03-P002B1-S017-T12,MZ002H-Pool03-P002B1-S017-T12.d,Sample,,5/1/16 17:12,1.074,6442618,1.119,3165128,1.152,8881270,1.253,1158348,1.342,257737,1.644,58892,1.7,0,1.913,730202,1.667,7138077,1.946,6184734,2.025,8916562,2.058,16463,2.025,272250,2.025,1869447,2.081,11771954,2.248,3701534,2.304,3970162,2.371,3685943,2.405,6219391,2.416,4801908,2.494,1028647,2.483,15255212,2.506,5410661,2.483,1194087,2.517,3889413,2.55,1017353,2.573,3992634,2.673,15629532,2.685,15411146,2.707,6690869,2.819,783287,,,2.875,119532,2.931,14158195,2.953,6190665,2.975,9505754,3.009,2822904,3.043,2708668,3.065,9565397,3.132,17644518,3.233,151402,3.277,310369,3.222,1245210,3.266,3328159,3.255,8812791,3.669,4614898,3.814,12280076,3.915,6417672,3.993,2427236,4.262,22630,4.43,277450,4.832,656194,4.866,11737185,5.101,77026,5.257,766554
,!,MZ002H-Pool03-P002B3-S019-T12,MZ002H-Pool03-P002B3-S019-T12.d,Sample,,5/1/16 22:21,1.075,6623332,1.12,4060163,1.142,9778735,1.254,1424821,1.344,355303,1.567,35590,1.746,18776,1.903,747277,1.679,6765074,1.948,7650241,2.015,10866989,1.992,4246,2.015,328305,2.026,2039290,2.082,14896167,2.25,4303792,2.306,4078647,2.361,4673026,2.395,7612620,2.406,5744269,2.485,1271231,2.473,17775525,2.507,6598555,2.496,1345648,2.518,4874161,2.552,1180519,2.574,3879090,2.675,18637909,2.675,18694061,2.708,8200154,2.809,993973,2.865,931,2.887,162683,2.921,16728288,2.954,6637630,2.966,13045146,3.01,3481320,3.033,3761586,3.055,12850904,3.122,22134013,3.234,185488,3.268,397692,3.234,1564883,3.268,4248422,3.256,11010721,3.67,9051062,3.805,18229083,3.916,8493137,4.006,3065987,4.274,5032,4.442,267666,4.834,761766,4.867,12407183,5.113,70609,5.27,549449
!,!,MZ002H-Pool03-P002B1-S020-T12,MZ002H-Pool03-P002B1-S020-T12.d,Sample,,5/2/16 0:55,1.088,5471337,1.121,2653910,1.155,8313036,1.256,1108153,1.345,279569,1.647,61443,1.692,0,1.904,575636,1.681,5852256,1.949,6362219,2.016,9272783,2.072,7702,2.016,298534,2.027,1884154,2.083,11055071,2.251,3263785,2.307,3369962,2.363,3749265,2.397,6271922,2.408,4557214,2.486,1010972,2.475,14445696,2.508,5202509,2.497,1105393,2.52,3810292,2.553,1002049,2.564,3744307,2.676,15775809,2.676,15488065,2.71,7040225,2.81,892703,3.18,742,2.889,138792,2.922,11941122,2.956,6867343,2.967,10225913,3.012,2862417,3.034,2760691,3.057,10023226,3.135,17025995,3.236,160106,3.258,266320,3.236,1399851,3.258,3666510,3.258,9211020,3.672,6303505,3.806,14952496,3.918,8510298,4.007,2741321,,,4.444,263898,4.835,670929,4.869,11171003,5.115,76340,5.271,655119
,!,MZ002H-Pool03-P002A1-S013-T00,MZ002H-Pool03-P002A1-S013-T00.d,Sample,,5/2/16 12:14,1.064,5874604,1.098,2949150,1.132,8091550,1.243,1078257,1.322,253628,1.624,48963,1.691,872220,1.881,727962,1.669,5947481,1.926,7329196,1.993,9352242,1.971,8620,1.982,317769,2.004,1710563,2.06,13346863,2.217,4630205,2.284,3988220,2.351,4451542,2.373,7026215,2.384,5498413,2.463,1140513,2.452,16658602,2.485,6135154,2.463,1135905,2.496,4740933,2.519,1193160,2.552,2766878,2.653,17278197,2.653,16946350,2.686,8325040,2.787,1226963,2.865,1882,2.854,172055,2.899,19905887,2.933,7090965,2.944,12317739,2.988,3344892,3.011,4643163,3.044,10984960,3.1,19232215,3.212,176908,3.246,476902,3.201,1578394,3.246,4126987,3.235,10314850,3.648,6088873,3.783,15341602,3.895,9422914,3.973,2863783,4.253,3845773,4.409,297677,4.801,727041,4.834,14965468,5.08,343473,5.237,1536464
,!,MZ002H-Pool03-P002A2-S014-T00,MZ002H-Pool03-P002A2-S014-T00.d,Sample,,5/2/16 14:48,1.065,5750078,1.098,2978293,1.132,7876263,1.232,1161710,1.322,274419,1.613,44303,1.691,998929,1.881,685444,1.669,5468269,1.926,7262070,1.993,9845258,2.038,11701,1.993,315853,2.004,1541084,2.06,11917435,2.217,3925419,2.273,3965720,2.34,4325219,2.374,7083464,2.385,5483044,2.463,1215879,2.452,16929376,2.485,6565819,2.463,1210031,2.485,4850025,2.519,1285326,2.541,3957787,2.642,17630806,2.642,18032744,2.687,8287523,2.787,1028684,3.134,784,2.855,180664,2.899,20618933,2.933,7159639,2.944,12943500,2.989,3565629,3.011,4923646,3.034,11564258,3.101,20758676,3.201,194567,3.235,585614,3.201,1630547,3.235,4572303,3.235,10522991,3.649,7143850,3.783,16615675,3.895,9852222,3.973,3017276,4.253,3989811,4.409,304658,4.801,759063,4.834,11802299,5.081,280776,5.248,1546906
,!,MZ002H-Pool03-P002A1-S016-T00,MZ002H-Pool03-P002A1-S016-T00.d,Sample,,5/2/16 19:58,1.076,5443596,1.109,3061310,1.143,8227411,1.243,1198620,1.333,268412,1.624,39550,1.691,1053567,1.881,717817,1.702,6047667,1.926,7882829,1.993,10578840,2.038,26292,1.982,341006,2.004,1794631,2.06,14115150,2.228,4498410,2.284,4352357,2.351,4796015,2.373,7554357,2.384,5906408,2.463,1281158,2.452,16877244,2.485,6402023,2.463,1170940,2.485,5405990,2.519,1292826,2.552,3117945,2.642,17825479,2.642,18197801,2.686,8834759,2.787,1102454,2.72,6931,2.854,181435,2.899,20300406,2.921,6901308,2.944,13393157,2.988,3417041,3.011,4769952,3.033,11601637,3.1,20706282,3.212,176375,3.235,553220,3.201,1578533,3.246,4539081,3.235,10706879,3.648,5333525,3.783,14449711,3.895,9593046,3.973,3247081,4.252,5048615,4.409,343613,4.801,940186,4.834,13570422,5.08,408651,5.237,1460926
