Sample,,,,,,,PROCARBAZINE HYDROCHLORIDE Results,,DIGITOXIN Results,,SOTALOL HYDROCHLORIDE Results,,IS_SPARTEINE Results,,ATENOLOL Results,,DOXYLAMINE SUCCINATE Results,,AMINOGLUTETHIMIDE Results,,AMANTADINE HYDROCHLORIDE Results,,APOMORPHINE HYDROCHLORIDE Results,,ABACAVIR SULFATE Results,,QUININE SULFATE Results,,IS_EMETINE Results,,TIMOLOL MALEATE Results,,IS_CAFFEINE Results,,IS_YOHIMBINE Results,,BUPROPION Results,,METICRANE Results,,CARBINOXAMINE MALEATE Results,,PALIPERIDONE Results,,IS_SULFAMETHOXAZOLE Results,,PYRIMETHAMINE Results,,MILNACIPRAN HYDROCHLORIDE Results,,NEFOPAM Results,,TERAZOSIN HYDROCHLORIDE Results,,ALFUZOSIN HYDROCHLORIDE Results,,ANTAZOLINE PHOSPHATE Results,,IS_EYTHROMYCINE Results,,QUINACRINE HYDROCHLORIDE Results,,MEBHYDROLIN NAPHTHALENESULFONATE Results,,ENALAPRIL MALEATE Results,,MYCOPHENOLATE MOFETIL Results,,PROMETHAZINE HYDROCHLORIDE Results,,DILTIAZEM HYDROCHLORIDE Results,,PERICIAZINE Results,,DARIFENACIN HYDROBROMIDE Results,,VINPOCETINE Results,,NAFTOPIDIL Results,,PANTOPRAZOLE Results,,FLUVOXAMINE MALEATE Results,,ERGOTAMINE TARTRATE Results,,FEXOFENADINE HYDROCHLORIDE Results,,OXYBUTYNIN CHLORIDE Results,,INDAPAMIDE Results,,RESERPINE Results,,ZALEPLON Results,,CAPECITABINE Results,,CLEMASTINE FUMARATE Results,,QUINAPRIL HYDROCHLORIDE Results,,DICYCLOMINE HYDROCHLORIDE Results,,BISACODYL Results,,KETOROLAC TROMETHAMINE Results,,TELMISARTAN Results,,GRISEOFULVIN Results,,OXETHAZAINE Results,,IS_MIFEPRISTONE Results,,IRBESARTAN Results,,DEFLAZACORT Results,,DROSPIRENONE Results,,IS_IPRIFLAVONE Results,,TACROLIMUS Results,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
!,!,MZ002H-Pool08-P002B1-S017-T00,MZ002H-Pool08-P002B1-S017-T00.d,Sample,,4/30/2016 9:25 PM,,,,,1.030,1648224,1.064,5505573,1.153,7589525,1.556,3422543,1.567,562460,1.612,1115625,1.656,2114974,1.668,2105441,1.813,5887098,1.645,6611019,1.936,8256836,2.014,2088066,2.070,13491779,2.182,3724473,2.227,204383,2.294,3796126,2.260,3735158,2.238,3391109,2.283,7444832,2.305,4110780,2.305,14606334,2.361,4973735,2.462,18117533,2.495,5218070,2.562,4209695,2.126,1770927,2.797,3307907,2.887,698952,2.909,20660098,2.943,5713066,2.932,11550508,2.943,392938,2.988,3341987,3.066,11523896,3.133,206490,3.144,422996,3.234,1423100,3.256,132838,3.256,4349090,3.312,9722175,3.301,2972843,3.401,3563619,3.390,8796540,3.502,2652924,3.592,2577553,3.659,4847776,3.636,8535490,3.737,14379498,3.793,4197502,3.827,10048392,3.860,15452045,3.894,9191013,3.905,6325488,4.106,27273479,4.218,14873126,4.330,13498152,4.844,11553514,5.247,803409
!,!,MZ002H-Pool08-P002B3-S019-T00,MZ002H-Pool08-P002B3-S019-T00.d,Sample,,5/1/2016 2:35 AM,,,,,1.032,1390024,1.077,5228602,1.156,6861456,1.569,3072884,1.569,594096,1.614,968929,1.659,2312317,1.670,2687764,1.827,5116576,1.670,5969347,1.939,7222085,2.017,2029211,2.073,13312524,2.185,3223083,2.241,218616,2.308,3541225,2.274,3372365,2.241,3545204,2.285,6663702,2.319,3513187,2.330,13091818,2.352,4520476,2.464,16195381,2.509,4445775,2.565,3415025,2.151,1555491,2.800,3090338,2.889,620404,2.912,18065465,2.945,5020901,2.934,9843728,2.956,347206,3.001,3043044,3.080,10114103,3.135,105455,3.147,134800,3.236,1240489,3.258,140515,3.258,3816254,3.314,8898145,3.303,2861888,3.404,3561037,3.393,8295507,3.505,2728134,3.594,2589391,3.661,5336527,3.650,8478192,3.751,13983930,3.807,3883335,3.829,10218349,3.863,14018733,3.896,7914872,3.907,5765988,4.109,23195415,4.221,11948801,4.332,11103835,4.858,9573960,5.261,682036
!,!,MZ002H-Pool08-P002B1-S020-T00,MZ002H-Pool08-P002B1-S020-T00.d,Sample,,5/1/2016 5:09 AM,,,,,1.042,1217630,1.087,5036554,1.154,5391256,1.579,1630051,1.568,545699,1.624,823818,1.657,1758057,1.669,2801460,1.825,4577612,1.669,5680283,1.937,6145251,2.015,1787891,2.071,11218118,2.194,2757842,2.239,189663,2.306,3464366,2.273,2916085,2.239,3270408,2.284,6037294,2.317,3190077,2.329,12202142,2.362,4016485,2.474,14860093,2.508,3745688,2.564,3208105,2.161,1453617,2.810,2547831,2.888,567654,2.910,17105553,2.955,4603443,2.944,8863303,2.955,327786,3.000,2827646,3.078,9203371,3.134,123368,3.156,38676,3.235,1008012,3.257,171201,3.257,3627920,3.313,7999660,3.302,2478728,3.402,2764282,3.402,7345996,3.503,2372326,3.593,2079668,3.671,4317318,3.660,7684588,3.749,12657090,3.805,3218977,3.828,8700583,3.861,13018903,3.906,6868275,3.906,6586569,4.107,22931616,4.230,11856470,4.331,10158469,4.857,10480724,5.259,609470
!,!,MZ002H-Pool08-P002B1-S017-T12,MZ002H-Pool08-P002B1-S017-T12.d,Sample,,5/1/2016 6:42 PM,,,,,1.042,1511499,1.086,6457456,1.165,7290250,1.578,3605414,1.578,850255,1.634,1133602,1.668,2259533,1.657,45123,1.836,5821385,1.668,6944321,1.948,7796026,2.026,2042025,2.082,12145389,2.194,3456338,2.250,199422,2.306,4059870,2.283,3218396,2.250,3311230,2.294,8465649,2.328,4019177,2.328,15452517,2.373,4581685,2.473,17800832,2.507,4822762,2.574,3910941,2.160,1687215,2.809,2913214,2.898,712389,2.921,15118467,2.954,5577923,2.943,11036788,2.954,395953,3.010,3520159,3.089,10871486,3.133,288111,3.167,3409,3.234,1202665,3.256,186370,3.268,3987849,3.323,9054414,3.312,2552055,3.402,2723135,3.402,7760006,3.514,1821417,3.603,2034446,3.670,3710599,3.659,7010151,3.760,12022,3.804,4180353,3.838,7857143,3.872,15306156,3.905,8513464,3.916,6537749,4.118,28012683,4.230,15090048,4.341,14929022,4.867,11864998,5.270,974790
!,!,MZ002H-Pool08-P002B3-S019-T12,MZ002H-Pool08-P002B3-S019-T12.d,Sample,,5/1/2016 11:51 PM,,,,,1.039,1746729,1.073,6647581,1.163,7662330,1.576,3708521,1.576,970364,1.621,1270985,1.666,2294191,1.677,3595852,1.834,6045539,1.677,6344849,1.946,8148513,2.024,2077811,2.080,14959374,2.203,3740975,2.248,217379,2.315,4108669,2.281,2251283,2.248,3884796,2.292,7703844,2.326,4369487,2.326,16059294,2.371,4926537,2.471,17906213,2.505,5267591,2.572,4220458,2.158,1843273,2.796,3427343,2.908,850587,2.919,16161196,2.952,6521872,2.941,12091173,2.964,438829,3.008,3909761,3.087,12504871,3.142,176345,3.165,1411,3.243,1318391,3.266,139256,3.266,4366666,3.321,10820262,3.310,2676478,3.411,3060233,3.411,9691031,3.512,3021799,3.601,3049186,3.679,6055506,3.657,9859432,3.758,9931,3.814,5435027,3.836,10776601,3.870,17704069,3.903,10016882,3.914,8244946,4.127,29767954,4.239,12174069,4.351,14699780,4.865,12317310,5.279,667252
!,!,MZ002H-Pool08-P002B1-S020-T12,MZ002H-Pool08-P002B1-S020-T12.d,Sample,,5/2/2016 11:09 AM,,,,,1.029,1311751,1.063,4990397,1.141,5661440,1.566,2604501,1.555,892934,1.600,1042273,1.644,2083624,1.656,3860382,1.812,4273022,1.656,4293160,1.924,6886020,2.002,1570264,2.058,10293864,2.170,2872678,2.226,158145,2.282,3564924,2.260,271244,2.226,3121916,2.271,6017767,2.304,3697761,2.316,13610895,2.349,3905415,2.461,15573924,2.483,4435317,2.551,4222175,2.148,1263189,2.785,2769008,2.886,638976,2.909,9996619,2.931,5142861,2.931,10045120,2.942,346338,2.987,3164126,3.065,9803176,,,3.155,512,3.222,1060022,3.244,104311,3.244,3914412,3.300,8629675,3.289,2123665,3.389,2557849,3.378,7691560,3.490,2221255,3.580,2260275,3.658,5103326,3.636,7672060,3.736,313973,3.781,5310589,3.826,9442824,3.848,15164187,3.882,8731171,3.893,7289348,4.094,27363726,4.206,15318330,4.318,13958303,4.833,12165989,5.235,903347
!,!,MZ002H-Pool08-P002A1-S013-T00,MZ002H-Pool08-P002A1-S013-T00.d,Sample,,5/2/2016 1:44 PM,,,,,1.031,1377674,1.076,6218510,1.154,5937208,1.568,3476642,1.557,937175,1.602,792591,1.658,1026656,1.658,2404770,1.814,5657597,1.680,5980276,1.926,8072960,2.005,1923885,2.060,14254536,2.172,3524094,2.228,228024,2.284,4092421,2.251,3947960,2.217,4742746,2.273,8069474,2.307,3982677,2.307,15843137,2.351,5296467,2.452,17794035,2.486,5135930,2.541,2522777,2.172,1894356,2.776,3501861,2.877,725151,2.899,19579744,2.933,6087007,2.922,10929967,2.933,403046,2.989,3886471,3.067,12542652,3.168,5000,,,3.213,1404480,3.246,157639,3.246,4515672,3.302,9977251,3.291,2950272,3.392,3815815,3.380,7815268,3.481,2471807,3.571,2650371,3.649,4824702,3.627,9283301,3.738,25142,3.783,5106685,3.817,9112171,3.839,14706913,3.884,10950658,3.895,8090603,4.096,25653251,4.208,12440691,4.309,13355969,4.835,12065450,5.237,1533064
!,!,MZ002H-Pool08-P002A2-S014-T00,MZ002H-Pool08-P002A2-S014-T00.d,Sample,,5/2/2016 4:19 PM,,,,,1.034,1319632,1.068,6298610,1.146,6114777,1.560,3182663,1.560,1025573,1.594,1175898,1.649,2244704,1.661,2943173,1.817,5182178,1.672,5720514,1.918,8498484,2.007,1901974,2.063,13509200,2.175,3906317,2.220,194395,2.287,3840213,2.254,3708260,2.220,3801251,2.265,7636029,2.298,4110001,2.298,15744848,2.343,4724341,2.455,16880225,2.477,5315888,2.544,4902720,2.153,1910380,2.779,3453237,2.880,800940,2.902,20340873,2.925,6308846,2.925,11652258,2.936,401018,2.981,3750644,3.059,13522028,2.947,7613,3.171,589,3.216,1596038,3.238,189529,3.238,4903878,3.294,10794207,3.283,2565932,3.394,4010249,3.383,7999979,3.484,2459591,3.562,2856099,3.652,5428140,3.629,10018358,3.741,186040,3.786,6163000,3.820,9699554,3.842,16723727,3.875,12538467,3.898,10248538,4.099,29290767,4.200,14084294,4.312,15493435,4.826,14669661,5.229,1760301
!,!,MZ002H-Pool08-P002A1-S016-T00,MZ002H-Pool08-P002A1-S016-T00.d,Sample,,5/2/2016 9:28 PM,,,,,1.031,1201820,1.075,6084623,1.143,5581146,1.568,3176609,1.556,874400,1.601,1028650,1.646,2076890,1.657,2055306,1.825,5281512,1.713,6207427,1.926,7994491,2.004,2084049,2.060,14911934,2.172,3476002,2.216,245442,2.284,4163999,2.261,4089541,2.228,4833897,2.272,7999676,2.306,3540992,2.306,14718115,2.351,4793737,2.451,16908698,2.485,4879678,2.552,2704818,2.183,1845159,2.787,3104350,2.876,655749,2.899,18231945,2.932,5383912,2.921,10101170,2.932,365255,2.988,3402516,3.067,11435549,3.033,6670,3.011,1979,3.212,1316905,3.246,120755,3.246,4343294,3.301,8920130,3.279,2743162,3.391,3248918,3.380,6915350,3.480,2047762,3.570,2211087,3.659,4002918,3.626,7843516,3.738,6378,3.782,4622859,3.816,7613479,3.838,13616751,3.883,9429719,3.894,8176637,4.096,25351968,4.208,12012444,4.308,13475932,4.834,13945641,5.237,1374167
