Sample,,,,,,,DIGOXIN Results,,IS_SPARTEINE Results,,LEVAMISOLE HYDROCHLORIDE Results,,OLANZAPINE Results,,ERGONOVINE MALEATE Results,,AZATADINE MALEATE Results,,CLENBUTEROL HYDROCHLORIDE Results,,ESZOPICLONE Results,,IS_EMETINE Results,,IS_CAFFEINE Results,,IS_YOHIMBINE Results,,DISOPYRAMIDE PHOSPHATE Results,,IS_SULFAMETHOXAZOLE Results,,MILNACIPRAN HYDROCHLORIDE Results,,RIMANTADINE HYDROCHLORIDE Results,,ALFUZOSIN HYDROCHLORIDE Results,,BISOPROLOL FUMARATE Results,,TRIPROLIDINE HYDROCHLORIDE Results,,ANTAZOLINE PHOSPHATE Results,,IS_EYTHROMYCINE Results,,METHOCARBAMOL Results,,PERGOLIDE MESYLATE Results,,PENTOXIFYLLINE Results,,DASATINIB Results,,CLEMIZOLE HYDROCHLORIDE Results,,SILDENAFIL CITRATE Results,,ETHOPROPAZINE HYDROCHLORIDE Results,,DOXAZOSIN MESYLATE Results,,CYCLOBENZAPRINE HYDROCHLORIDE Results,,TRIMIPRAMINE MALEATE Results,,LETROZOLE Results,,ERGOTAMINE TARTRATE Results,,ETHOXZOLAMIDE Results,,NICERGOLINE Results,,PENBUTOLOL SULFATE Results,,MEFLOQUINE Results,,NEFAZODONE HYDROCHLORIDE Results,,SERTRALINE HYDROCHLORIDE Results,,RESERPINE Results,,ZALEPLON Results,,DABIGATRAN ETEXILATE MESYLATE Results,,PIMOZIDE Results,,PREDNISONE Results,,CAPECITABINE Results,,ENTACAPONE Results,,METAXALONE Results,,FLUPHENAZINE HYDROCHLORIDE Results,,CARISOPRODOL Results,,TRANDOLAPRIL Results,,KETOROLAC TROMETHAMINE Results,,IS_MIFEPRISTONE Results,,NAPROXEN(+) Results,,DROSPIRENONE Results,,DIFLORASONE DIACETATE Results,,LEVONORGESTREL Results,,FINASTERIDE Results,,INDOMETHACIN Results,,IS_IPRIFLAVONE Results,,IDEBENONE Results,,LOVASTATIN Results,,FENOFIBRATE Results,,BENZBROMARONE Results,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
!,!,MZ002H-Pool13-P002B1-S017-T00,MZ002H-Pool13-P002B1-S017-T00.d,Sample,,4/30/2016 8:27 PM,,,1.074,5170323,1.331,28266607,1.309,628405,1.521,5492413,1.678,2716012,1.846,5601671,1.879,956981,1.622,6821094,2.002,1930722,2.047,12907281,2.080,5436647,2.215,3783723,2.293,3211152,2.394,3704440,2.438,14080097,2.438,11324773,2.461,3215385,2.472,3965247,2.550,3734501,2.539,1033535,2.573,7598220,2.774,14355991,2.852,869171,2.931,10363019,3.065,2335455,3.076,11773099,3.031,6216936,3.098,8829014,3.177,23714424,3.199,176997,3.233,156410,3.221,3414261,3.266,706566,3.311,3753909,3.344,1423011,3.378,190934,3.389,551051,3.378,3365345,3.378,6624942,3.490,13608288,3.423,4207759,3.691,9122,3.490,2108010,3.546,107771,3.523,3476673,3.602,1939637,3.781,1352341,3.781,12394611,3.781,2686120,3.870,5687394,4.083,495670,4.306,9320935,4.407,5914788,4.474,2369005,4.474,11429998,4.664,779376,4.832,8607923,4.911,4240217,5.090,496203,5.213,1102694,5.313,22859
!,!,MZ002H-Pool13-P002B3-S019-T00,MZ002H-Pool13-P002B3-S019-T00.d,Sample,,5/1/2016 1:37 AM,,,1.077,5205017,1.335,27774998,1.312,689059,1.525,5909843,1.693,2706092,1.849,5656196,1.883,841724,1.648,6298663,2.006,2036311,2.062,13146358,2.095,5964041,2.230,3835270,2.308,3655967,2.397,4160752,2.453,14803616,2.453,11950959,2.476,3383866,2.476,4511901,2.554,3444283,2.543,949216,2.588,8855733,2.778,15601423,2.867,934836,2.945,12334060,3.069,2751753,3.080,13251163,3.046,6983066,3.102,10930303,3.180,27378497,3.203,183818,3.236,179741,3.225,3586737,3.270,794795,3.315,4497812,3.348,1891055,3.382,159831,3.393,654267,3.382,3796587,3.382,8255302,3.482,7964188,3.438,4987809,3.471,1342,3.494,2812733,3.550,145370,3.527,4609786,3.617,2928577,3.784,1542901,3.784,15609675,3.784,3538432,3.885,6491975,4.086,620425,4.310,10950095,4.411,6929095,4.467,2944613,4.478,14109288,4.668,1100518,4.836,10436772,4.925,5016364,5.104,554932,5.216,1604631,5.317,24400
!,!,MZ002H-Pool13-P002B1-S020-T00,MZ002H-Pool13-P002B1-S020-T00.d,Sample,,5/1/2016 4:11 AM,,,1.074,5153531,1.331,20681175,1.320,590327,1.522,4753813,1.712,2378846,1.857,4920962,1.880,722753,1.656,6133521,2.014,1849362,2.059,11607941,2.092,5296253,2.226,3493504,2.305,3058306,2.405,3341011,2.450,13425328,2.461,10793578,2.484,3077365,2.484,3532994,2.551,3581965,2.540,894310,2.584,7432395,2.774,14519960,2.864,789610,2.942,9853303,3.077,2356733,3.088,11296259,3.043,5873389,3.110,8435465,3.188,22432665,3.211,158588,3.244,176626,3.222,3287081,3.278,646347,3.323,3856195,3.356,1410531,3.390,185499,3.401,495049,3.379,2935501,3.379,6871500,3.490,10168133,3.446,3858273,3.636,7537,3.490,2198465,3.558,209110,3.535,3635764,3.625,2182150,3.781,1325921,3.781,13492314,3.781,3009152,3.882,7055496,4.094,544522,4.318,9694949,4.408,6348658,4.475,2678576,4.475,12202298,4.665,977720,4.844,9212640,4.922,4883841,5.101,619228,5.224,774829,5.314,26467
!,!,MZ002H-Pool13-P002B1-S017-T12,MZ002H-Pool13-P002B1-S017-T12.d,Sample,,5/1/2016 5:44 PM,,,1.064,6149120,1.333,32598395,1.310,727499,1.523,4799358,1.691,3630284,1.847,5969776,1.881,752490,1.646,7709029,2.015,1835649,2.060,11338332,2.093,6740100,2.228,3239486,2.295,4044060,2.395,4641367,2.451,15594023,2.451,13147106,2.474,3822812,2.474,4488070,2.552,4362827,2.541,875783,2.574,9117459,2.787,15734219,2.854,927565,2.932,12403151,3.067,2373143,3.078,14659109,3.044,6898681,3.100,10561081,3.179,26244315,3.212,172816,3.234,168985,3.223,3220310,3.268,714330,3.313,4484837,3.346,2037552,3.391,369491,3.391,550229,3.380,2732343,3.391,6798523,3.503,19028689,3.436,4082420,,,3.492,1787400,,,3.536,2909112,3.615,2073641,3.794,1122231,3.783,12186339,3.794,3276522,3.894,6436656,4.096,843827,4.320,13782373,4.409,9601749,4.476,3880693,4.487,16917653,4.666,1562866,4.845,10771545,4.924,7827095,5.103,796780,5.226,906699,5.326,20946
!,!,MZ002H-Pool13-P002B3-S019-T12,MZ002H-Pool13-P002B3-S019-T12.d,Sample,,5/1/2016 10:53 PM,,,1.088,6584870,1.345,29610439,1.323,698477,1.535,4537575,1.714,3043252,1.860,6089985,1.893,734984,1.670,6783099,2.016,2301003,2.061,15091444,2.106,6988152,2.229,4701747,2.307,3705605,2.408,4261302,2.453,15312734,2.464,12080462,2.486,3795853,2.486,4392566,2.553,3379897,2.553,897597,2.587,8553021,2.788,16741057,2.867,814281,2.945,11939523,3.079,2452838,3.090,13686351,3.046,6558916,3.113,10679720,3.191,26231708,3.213,179412,3.247,171554,3.225,3491037,3.269,655611,3.325,4467588,3.359,1560580,3.392,162618,3.403,579440,3.381,2671511,3.392,8035048,3.493,7974704,3.448,4248289,3.638,9674,3.504,2549921,,,3.538,4602934,3.627,2235678,3.795,1366268,3.795,14676532,3.795,3553572,3.896,7763037,4.097,756023,4.332,10930613,4.421,7629513,4.489,324290,4.489,14541008,4.679,1578338,4.847,10071579,4.936,6641752,5.115,506734,5.227,1063505,5.328,35095
!,!,MZ002H-Pool13-P002B1-S020-T12,MZ002H-Pool13-P002B1-S020-T12.d,Sample,,5/2/2016 1:28 AM,,,1.076,5729708,1.323,8598809,1.334,682103,1.535,3800208,1.714,2413285,1.859,4929479,1.893,597413,1.680,5812935,2.016,1895006,2.072,10978597,2.106,5541315,2.240,3266719,2.318,3129684,2.408,3558368,2.464,13367876,2.464,11112913,2.486,3244369,2.486,3638490,2.553,3480982,2.553,809098,2.598,7267848,2.788,14707086,2.866,764580,2.945,9403322,3.079,2017513,3.090,11430078,3.056,5562266,3.112,8626971,3.191,22122362,3.213,158853,3.247,162909,3.235,2842077,3.280,565584,3.325,3730925,3.358,1240265,3.392,256236,3.403,396834,3.392,2340336,3.392,6635349,3.504,11440647,3.448,2834368,3.616,2377,3.504,1955554,,,3.549,3188413,3.638,1809997,3.795,1207422,3.795,13556305,3.795,3366131,3.895,7300486,4.108,713794,4.332,10861465,4.421,7201942,4.488,3236668,4.499,13737048,4.678,1425370,4.857,8606975,4.936,5752702,5.115,628911,5.238,353314,5.327,44002
!,!,MZ002H-Pool13-P002A1-S013-T00,MZ002H-Pool13-P002A1-S013-T00.d,Sample,,5/2/2016 12:46 PM,,,1.066,5527947,1.324,34002226,1.312,722912,1.514,7024529,1.682,2698853,1.838,6371620,1.872,845055,1.659,5885097,1.995,1898403,2.040,13974903,2.073,7433200,2.207,4533970,2.274,4253246,2.364,5240607,2.431,16888757,2.431,13136014,2.453,4233177,2.453,5407242,2.532,2912565,2.521,990131,2.565,11102947,2.755,16378549,2.845,1229709,2.912,15381401,3.058,2411188,3.058,16648099,3.024,8012973,3.080,12882411,3.158,30756906,3.192,205170,3.225,170996,3.203,4302481,3.248,891921,3.292,4990306,3.326,3085119,3.371,356033,3.360,819637,3.371,4184495,3.360,7744691,3.483,14270667,3.415,7727716,,,3.471,2389622,3.527,547616,3.505,3795387,3.594,3350425,3.762,1230970,3.762,14979794,3.762,4611418,3.874,9877531,4.064,1012267,4.299,14458666,4.389,10140197,4.456,4133182,4.456,17844377,4.646,2206032,4.814,13704571,4.903,10737786,5.082,1262734,5.194,2494941,5.284,53339
!,!,MZ002H-Pool13-P002A2-S014-T00,MZ002H-Pool13-P002A2-S014-T00.d,Sample,,5/2/2016 3:21 PM,,,1.065,5407903,1.311,31100638,1.311,660780,1.512,5984922,1.691,2737703,1.836,5875304,1.870,760323,1.680,4754956,1.993,1608674,2.038,11507658,2.071,6876845,2.206,4296034,2.284,3848122,2.373,4693472,2.440,15360187,2.429,12520566,2.452,4028922,2.452,4616009,2.530,3622503,2.519,874725,2.563,9651139,2.765,16611058,2.843,1078768,2.921,12937897,3.056,2395816,3.056,15276353,3.022,7775728,3.078,11874543,3.156,27883520,3.190,189421,3.223,134008,3.201,4246671,3.246,824087,3.291,4825141,3.335,2580303,3.369,279830,3.369,760562,3.369,4278459,3.358,7369282,3.470,12076827,3.425,7214638,3.458,1978,3.470,2355428,3.525,561448,3.514,3957238,3.604,3295477,3.760,1188376,3.772,15033996,3.760,4244044,3.872,8240297,4.062,934927,4.297,13033029,4.387,8707449,4.454,3792102,4.454,15711082,4.644,1910167,4.812,9615847,4.901,9146679,5.080,1257209,5.192,1223063,5.293,32934
!,!,MZ002H-Pool13-P002A1-S016-T00,MZ002H-Pool13-P002A1-S016-T00.d,Sample,,5/2/2016 8:30 PM,,,1.056,5316992,1.313,31836237,1.313,569684,1.515,6334511,1.694,2601348,1.828,6045609,1.873,765227,1.694,5315945,1.985,1850160,2.041,13753608,2.074,7112934,2.208,4737352,2.287,3498106,2.376,4467182,2.432,15321532,2.432,11809565,2.466,3592088,2.454,4881414,2.533,2685000,2.522,968232,2.566,9755728,2.756,15513039,2.846,1028661,2.924,12972976,3.059,2190683,3.059,13636862,3.025,6385794,3.081,10961048,3.159,26296169,3.182,182545,3.226,148664,3.204,4025776,3.249,671028,3.293,4307941,3.327,2484656,3.372,360399,3.372,628692,3.372,3314939,3.361,7010526,3.472,14414691,3.428,5150954,3.450,700,3.472,1979451,3.517,354535,3.506,3103945,3.607,2015460,3.763,1020802,3.774,12160934,3.763,4072545,3.875,8192925,4.065,913853,4.300,13112297,4.390,8945416,4.457,3669290,4.457,15998806,4.636,2238358,4.815,10866509,4.893,9329261,5.072,1064145,5.195,1204818,5.285,45723
