Sample,,,,,,,ATORVASTATIN CALCIUM Results,,NIZATIDINE Results,,IS_SPARTEINE Results,,GALANTAMINE Results,,FLUOXETINE Results,,PIDOTIMOD Results,,OLANZAPINE Results,,ROPINIROLE HYDROCHLORIDE Results,,TINIDAZOLE Results,,DESVENLAFAXINE SUCCINATE Results,,QUININE SULFATE Results,,IS_EMETINE Results,,IS_CAFFEINE Results,,DABIGATRAN ETEXILATE MESYLATE Results,,IS_YOHIMBINE Results,,TRIMETHOBENZAMIDE HYDROCHLORIDE Results,,BUPROPION Results,,ROSIGLITAZONE MALEATE Results,,PALIPERIDONE Results,,IS_SULFAMETHOXAZOLE Results,,TERAZOSIN HYDROCHLORIDE Results,,NOSCAPINE HYDROCHLORIDE Results,,BAMBUTEROL HYDROCHLORIDE Results,,ELETRIPTAN HYDROBROMIDE Results,,ANTAZOLINE PHOSPHATE Results,,PRAZOSIN HYDROCHLORIDE Results,,DOMPERIDONE Results,,IS_EYTHROMYCINE Results,,CITALOPRAM HYDROBROMIDE Results,,SPIPERONE Results,,CYCLOPHOSPHAMIDE Results,,DIPERODON HYDROCHLORIDE Results,,PERICIAZINE Results,,TRIHEXYPHENIDYL HYDROCHLORIDE Results,,PAROXETINE HYDROCHLORIDE Results,,METHSUXIMIDE Results,,OXCARBAZEPINE Results,,LETROZOLE Results,,BENZTHIAZIDE Results,,PHENYTOIN SODIUM Results,,PIMOZIDE Results,,METAXALONE Results,,BROMOCRIPTINE MESYLATE Results,,MEBENDAZOLE Results,,FLUPHENAZINE HYDROCHLORIDE Results,,DICYCLOMINE HYDROCHLORIDE Results,,RILUZOLE Results,,REBAMIPIDE Results,,GRISEOFULVIN Results,,DEXAMETHASONE Results,,IS_MIFEPRISTONE Results,,LOSARTAN Results,,IRBESARTAN Results,,BEZAFIBRATE Results,,SULFASALAZINE Results,,TRANILAST Results,,NITRENDIPINE Results,,RACECADOTRIL Results,,FINASTERIDE Results,,CYPROTERONE ACETATE Results,,BETAMETHASONE VALERATE Results,,PACLITAXEL Results,,IS_IPRIFLAVONE Results,,IDEBENONE Results,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
!,!,MZ002H-Pool14-P002B1-S017-T00,MZ002H-Pool14-P002B1-S017-T00.d,Sample,,4/30/2016 9:45 PM,,,1.054,2630049,1.065,5068450,1.110,5231357,1.188,1953976,1.289,183658,1.311,759175,1.636,1647659,1.692,526963,1.781,4534841,1.803,5748969,1.624,6816900,2.005,2009604,2.005,2918250,2.050,13065724,2.161,12365562,2.173,3810704,2.228,2087675,2.251,4128688,2.217,3492923,2.340,4323746,2.363,12828067,2.374,11363595,2.475,6539276,2.475,5083295,2.531,10527672,2.531,834421,2.553,3550948,2.642,17810363,2.676,8816991,2.844,5590895,2.900,17198065,2.933,421840,3.034,14999158,3.056,5062394,3.123,114101,3.190,6748062,3.202,218666,3.302,1362171,3.414,408626,3.437,4693282,3.526,4388296,3.548,391579,3.616,3193657,3.604,2206550,3.627,8885676,3.638,1423129,3.660,820473,3.839,15626257,3.873,555787,3.873,6087306,4.018,13639888,4.085,28380189,4.253,7835215,4.264,2791570,4.399,146767,4.387,716205,4.443,10598079,4.477,14810049,4.645,10148680,4.745,1588357,4.634,122259,4.835,10148773,4.913,5745487
!,!,MZ002H-Pool14-P002B3-S019-T00,MZ002H-Pool14-P002B3-S019-T00.d,Sample,,5/1/2016 2:54 AM,,,1.052,2065285,1.074,5326007,1.119,5072598,1.186,3197789,1.287,170795,1.320,610914,1.645,1254272,1.690,798839,1.790,3819681,1.813,4609709,1.645,6504419,2.003,1958839,2.014,1659888,2.059,12870104,2.159,10398298,2.171,2994946,2.238,1660132,2.249,2960322,2.227,3667652,2.338,3795209,2.361,11116939,2.372,9548855,2.473,5262264,2.484,3886370,2.540,9189283,2.529,716982,2.551,3396400,2.652,15026506,2.685,7232292,2.853,4585001,2.909,14505785,2.931,346601,3.043,11914097,3.066,4069445,3.121,92148,3.189,5900886,3.211,211653,3.300,1219309,3.412,372129,3.435,4114701,3.524,4581433,3.558,428259,3.625,2952373,3.614,2147346,3.636,7972863,3.647,1226340,3.670,724161,3.837,13468087,3.882,505032,3.882,5819177,4.016,11115313,4.095,23761591,4.251,6305957,4.262,1545252,4.408,130963,4.385,579140,4.453,8423780,4.475,12110311,4.643,8110308,4.755,1231750,4.643,99103,4.833,9020032,4.922,4323128
!,!,MZ002H-Pool14-P002B1-S020-T00,MZ002H-Pool14-P002B1-S020-T00.d,Sample,,5/1/2016 5:29 AM,,,1.054,1972202,1.076,4887691,1.121,4364995,1.188,2890094,1.288,158932,1.322,535326,1.646,1098882,1.691,894761,1.792,3262997,1.814,4135255,1.658,5961931,2.004,1839724,2.016,2524630,2.060,11337312,2.161,9158305,2.183,2489820,2.239,1451239,2.250,2849317,2.228,3394777,2.340,3349456,2.362,9520606,2.374,8139536,2.485,4641727,2.485,3255005,2.541,8113452,2.541,639033,2.553,2921577,2.653,13339539,2.687,6477902,2.843,4114806,2.910,12975378,2.933,311521,3.045,10102094,3.067,3573587,3.134,78546,3.190,5112494,3.212,161759,3.302,1097584,3.414,387141,3.436,3491920,3.537,3662864,3.559,327045,3.626,2479929,3.626,1711425,3.638,6725705,3.649,1098439,3.671,611767,3.839,12043161,3.884,417209,3.884,5776175,4.018,9997095,4.096,22092676,4.253,5492141,4.264,2089456,4.409,98309,4.387,513338,4.454,7668013,4.477,10874076,4.644,7292595,4.756,1030937,4.644,85592,4.846,8481966,4.924,4006326
!,!,MZ002H-Pool14-P002B1-S017-T12,MZ002H-Pool14-P002B1-S017-T12.d,Sample,,5/1/2016 7:01 PM,,,1.055,2532627,1.077,5736494,1.122,5752787,1.167,0,1.290,189323,1.323,678548,1.648,1725120,1.670,0,1.793,4553244,1.815,5438543,1.670,7347992,2.017,1952150,2.017,2560704,2.061,11865283,2.162,11707891,2.173,3366058,2.240,1934316,2.252,3348557,2.229,3512602,2.341,4160607,2.363,10704578,2.375,11342729,2.475,6324903,2.487,4591495,2.542,10428840,2.531,800779,2.554,3184582,2.643,17092207,2.677,8420307,2.856,4901649,2.900,16300564,2.934,422712,3.046,13341711,3.057,4868025,3.135,106979,3.191,6463663,3.214,192572,3.303,1348335,3.415,476982,3.437,4294113,3.538,3492119,3.560,191487,3.628,2720003,3.616,1886435,3.628,6739686,3.661,1282307,3.672,732703,3.851,14194379,3.885,461008,3.896,5647023,4.030,13457455,4.097,27488053,4.265,8615546,4.265,27058,4.411,151883,4.399,5456,4.455,7539210,4.489,14651813,4.657,10198441,4.757,1443287,4.645,125933,4.847,8610536,4.925,6062502
!,!,MZ002H-Pool14-P002B3-S019-T12,MZ002H-Pool14-P002B3-S019-T12.d,Sample,,5/2/2016 12:10 AM,,,1.062,1644613,1.073,6324284,1.118,5040042,1.196,3223396,1.297,187296,1.331,685446,1.655,1542477,1.677,0,1.800,3867213,1.823,4758073,1.666,6477706,2.013,2119655,2.024,706286,2.069,14614277,2.170,11593138,2.181,3141928,2.248,1635247,2.259,2068525,2.237,4196311,2.349,3976689,2.371,9945707,2.382,10477878,2.483,5999513,2.494,4181299,2.550,9236874,2.550,686859,2.561,3526522,2.662,16216576,2.684,7904022,2.863,4795572,2.919,15305743,2.941,389728,3.053,12960066,3.065,4580153,3.143,114698,3.210,6572401,3.221,192047,3.311,1361182,3.422,504834,3.445,4186987,3.546,4739474,3.568,233286,3.635,3423575,3.635,2016905,3.635,8242403,3.669,1484399,3.680,905998,3.859,15380613,3.892,492716,3.903,7682664,4.038,13550209,4.105,27334894,4.273,8512890,4.261,0,4.418,147412,4.362,0,4.463,5322241,4.496,14838842,4.664,9277523,4.765,1387948,4.653,119274,4.854,9867124,4.933,5945882
!,!,MZ002H-Pool14-P002B1-S020-T12,MZ002H-Pool14-P002B1-S020-T12.d,Sample,,5/2/2016 11:28 AM,,,1.043,2490361,1.054,4489931,1.099,3596089,1.177,3136140,1.278,177322,1.311,730088,1.624,1254253,1.669,0,1.770,3435529,1.792,3854470,1.658,4295632,1.993,1522305,1.993,3019419,2.038,9822330,2.139,9663898,2.150,2836450,2.217,1562874,2.228,301420,2.206,2932282,2.329,3512653,2.340,9332171,2.351,10144845,2.452,5154216,2.452,4140404,2.519,8295282,2.508,611958,2.530,3874264,2.620,15055065,2.665,8008512,2.821,4048640,2.877,14740466,2.900,390954,3.011,12623025,3.034,4250840,3.101,109869,3.168,5488088,3.190,180668,3.280,1243321,3.392,419783,3.414,3410799,3.504,3926708,3.537,218181,3.604,3342455,3.593,1942798,3.604,7130660,3.627,1461485,3.649,1084468,3.828,15026837,3.862,478342,3.873,6835389,4.007,14303522,4.074,27728187,4.231,10983693,4.242,0,4.387,183458,4.365,0,4.432,7584016,4.455,15947381,4.622,11307736,4.734,1735118,4.622,140811,4.812,10357306,4.902,7924948
!,!,MZ002H-Pool14-P002A1-S013-T00,MZ002H-Pool14-P002A1-S013-T00.d,Sample,,5/2/2016 2:03 PM,,,1.054,3247437,1.065,5716499,1.110,4758544,1.177,4011744,1.289,192626,1.311,752119,1.635,1714938,1.680,1131545,1.770,4607440,1.803,5545783,1.669,6186625,1.993,2146359,2.005,2043396,2.038,14477831,2.139,13484659,2.150,3955996,2.217,2337519,2.239,4536006,2.206,5001417,2.329,4885134,2.351,13614913,2.351,11977617,2.463,7659941,2.463,5778454,2.530,13087396,2.519,1042009,2.530,2346070,2.620,20073545,2.665,10399582,2.821,6184787,2.888,18188850,2.911,488642,3.023,16146689,3.034,6937576,3.101,146664,3.168,7647141,3.190,237744,3.280,1676570,3.392,533749,3.425,7856458,3.504,4339871,3.548,415365,3.604,3738117,3.593,2814937,3.604,9507193,3.627,1678898,3.649,1003612,3.828,16092452,3.861,630578,3.873,8487132,4.007,15985346,4.074,29446745,4.231,10872590,4.242,4289502,4.387,142408,4.365,955476,4.432,2456658,4.454,17432566,4.622,12157478,4.734,2261175,4.611,148642,4.812,11762812,4.902,9153478
!,!,MZ002H-Pool14-P002A2-S014-T00,MZ002H-Pool14-P002A2-S014-T00.d,Sample,,5/2/2016 4:38 PM,,,1.043,2691295,1.066,5237405,1.110,4414469,1.178,3671763,1.278,185775,1.312,693232,1.636,1514525,1.681,1112434,1.771,4179656,1.804,4872561,1.692,5148330,1.994,1826934,2.005,2511603,2.039,12705460,2.151,11675143,2.151,3614687,2.218,2077276,2.240,3947570,2.207,4128483,2.330,4170859,2.352,12368025,2.363,10535325,2.464,6381418,2.464,4820466,2.520,10925586,2.509,917681,2.531,3281889,2.621,17258510,2.665,8581993,2.822,5420806,2.889,16504318,2.912,437832,3.023,14410070,3.035,5872888,3.102,131159,3.169,6990245,3.191,230848,3.281,1473120,3.393,467734,3.426,6946602,3.504,4091212,3.549,391781,3.605,3486507,3.605,2724832,3.605,9208738,3.627,1588766,3.650,932490,3.829,15495779,3.862,566780,3.874,7998776,4.008,14585233,4.075,27255968,4.231,9761588,4.243,4066451,4.388,151543,4.366,860513,4.433,4030876,4.455,15951915,4.623,11563570,4.735,1988971,4.623,135781,4.813,10920888,4.903,7714395
!,!,MZ002H-Pool14-P002A1-S016-T00,MZ002H-Pool14-P002A1-S016-T00.d,Sample,,5/2/2016 9:47 PM,,,1.051,2598374,1.063,5773336,1.107,4054326,1.174,4257629,1.275,171513,1.320,642376,1.633,1518706,1.678,1084952,1.767,4194034,1.812,5074111,1.700,5986057,1.991,2087006,2.002,1705642,2.036,14494131,2.148,11329088,2.159,3469267,2.226,2090959,2.237,3914826,2.204,4994120,2.327,4133854,2.349,11839431,2.360,9990865,2.461,6161218,2.461,4663035,2.528,10385917,2.517,921548,2.539,2225043,2.629,16993811,2.662,8495939,2.819,5332467,2.886,15178963,2.908,390370,3.020,13095772,3.043,5538588,3.098,120530,3.177,6366276,3.188,207410,3.277,1459563,3.389,433159,3.423,5691395,3.512,3511106,3.546,306112,3.602,3028630,3.602,1727643,3.613,7750778,3.624,1403888,3.647,809151,3.826,13752665,3.859,470742,3.881,7618622,4.005,14073291,4.083,26618486,4.228,9707325,4.239,4150931,4.385,132774,4.363,879133,4.430,1349196,4.452,15163602,4.620,11014526,4.732,1966571,4.620,141468,4.810,12693139,4.899,8040496
