Sample,,,,,,,FLUCONAZOLE Results,,IS_SPARTEINE Results,,NEOSTIGMINE BROMIDE Results,,NALOXONE HYDROCHLORIDE Results,,CLONIDINE HYDROCHLORIDE Results,,RIZATRIPTAN BENZOATE Results,,AMINOGLUTETHIMIDE Results,,AMISULPRIDE Results,,METOCLOPRAMIDE HYDROCHLORIDE Results,,ALMOTRIPTAN Results,,IS_EMETINE Results,,LOFEXIDINE  HYDROCHLORIDE Results,,FAMCICLOVIR Results,,IS_CAFFEINE Results,,RIVASTIGMINE TARTRATE Results,,IS_YOHIMBINE Results,,TOPOTECAN HYDROCHLORIDE Results,,IS_SULFAMETHOXAZOLE Results,,KETOTIFEN FUMARATE Results,,PAPAVERINE HYDROCHLORIDE Results,,IS_EYTHROMYCINE Results,,RANOLAZINE Results,,CITALOPRAM HYDROBROMIDE Results,,PENTOXIFYLLINE Results,,HALOPERIDOL Results,,TENATOPRAZOLE Results,,BIPERIDEN Results,,OMEPRAZOLE Results,,NEVIRAPINE Results,,DULOXETINE HYDROCHLORIDE Results,,VINPOCETINE Results,,ETHOPROPAZINE HYDROCHLORIDE Results,,DOXAZOSIN MESYLATE Results,,METHSUXIMIDE Results,,FLUVOXAMINE MALEATE Results,,ETHOXZOLAMIDE Results,,OXYBUTYNIN CHLORIDE Results,,NAFRONYL OXALATE Results,,COLCHICINE Results,,ZALEPLON Results,,LOXAPINE SUCCINATE Results,,LOPERAMIDE HYDROCHLORIDE Results,,BROMOCRIPTINE MESYLATE Results,,CLEMASTINE FUMARATE Results,,DICYCLOMINE HYDROCHLORIDE Results,,BISACODYL Results,,TADALAFIL Results,,IS_MIFEPRISTONE Results,,MIFEPRISTONE Results,,NAPROXEN(+) Results,,EZETIMIBE Results,,BEZAFIBRATE Results,,ARTEMISININ Results,,NITRENDIPINE Results,,LEVONORGESTREL Results,,FINASTERIDE Results,,BUDESONIDE Results,,PACLITAXEL Results,,BETAMETHASONE VALERATE Results,,FEBUXOSTAT Results,,NATEGLINIDE Results,,IS_IPRIFLAVONE Results,,NORGESTIMATE Results,,TACROLIMUS Results,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
!,!,MZ002H-Pool15-P002B1-S017-T00,MZ002H-Pool15-P002B1-S017-T00.d,Sample,,4/30/2016 8:34 PM,,,1.061,5119235,1.240,1069696,1.240,3239652,1.251,8379508,1.329,306732,1.564,577074,1.676,7620849,1.810,7930203,1.833,7166958,1.643,7103883,1.956,3817623,2.000,5047921,2.012,1852506,2.034,353241,2.068,13539089,2.146,19024,2.235,3881101,2.392,4694577,2.414,20997701,2.560,3421746,2.560,9230302,2.660,16054906,2.783,13229284,2.862,8379114,2.895,967509,2.940,5531968,2.940,9047,2.996,8317628,2.940,1408740,3.074,9826553,3.108,12198451,3.063,6995477,3.142,80797,3.231,1212875,3.231,3660715,3.309,7782734,3.320,9628826,3.343,11021693,3.388,8268572,3.388,280973,3.499,9046694,3.578,331581,3.589,2181702,3.645,6947695,3.746,12256544,3.925,294227,3.902,8598628,3.902,8599363,4.104,518906,4.182,305410,4.271,5815556,4.294,2334114,4.406,425884,4.484,2767541,4.484,12703554,4.506,2036182,4.652,113684,4.764,1342536,4.819,471259,4.831,1498436,4.853,10330179,5.010,1384004,5.256,769134
!,!,MZ002H-Pool15-P002B3-S019-T00,MZ002H-Pool15-P002B3-S019-T00.d,Sample,,5/1/2016 1:43 AM,,,1.076,5234007,1.244,1150594,1.244,3479578,1.266,8768891,1.333,290652,1.568,673870,1.680,6751462,1.814,8340759,1.836,7377753,1.657,6226930,1.959,4088883,2.004,5245794,2.015,1898233,2.038,364787,2.071,13581202,2.150,7283,2.239,3787469,2.396,4576492,2.418,21063945,2.563,3334055,2.563,9608065,2.664,17176310,2.787,14783153,2.866,9252837,2.899,619602,2.944,5898332,2.798,9929,3.000,9159326,2.944,1612833,3.078,10689109,3.100,13252191,3.067,7410018,3.145,93987,3.235,1367564,3.235,3826966,3.313,8791825,3.324,10701772,3.347,12057804,3.402,9541622,3.402,322175,3.503,10326732,3.581,445950,3.593,2848731,3.649,8622182,3.749,14796541,3.928,320791,3.906,9279278,3.906,9275694,4.107,593357,4.185,343528,4.275,6808068,4.297,1731869,4.409,597211,4.488,3062001,4.488,14134095,4.510,2309929,4.655,124835,4.767,1396912,4.823,549193,4.834,1793538,4.857,10874132,5.013,1292201,5.259,700916
!,!,MZ002H-Pool15-P002B1-S020-T00,MZ002H-Pool15-P002B1-S020-T00.d,Sample,,5/1/2016 4:18 AM,,,1.087,5371593,1.255,906887,1.255,3005151,1.266,7507656,1.333,241373,1.568,531053,1.680,5749551,1.825,6541284,1.837,5979106,1.669,6449057,1.971,3314097,2.004,4757786,2.016,1819113,2.038,297339,2.071,12125039,2.161,33342,2.239,3406607,2.396,4084263,2.418,19005151,2.564,3239278,2.552,7823329,2.664,14730240,2.787,13282553,2.866,7750467,2.899,331528,2.944,5442652,2.922,1082,3.000,7558396,2.944,1277623,3.078,8698819,3.112,10810357,3.067,6102742,3.145,77224,3.235,1010774,3.235,3233950,3.313,7256825,3.324,8389268,3.347,10324320,3.391,7843196,3.391,262496,3.503,8559791,3.582,336105,3.604,1907947,3.649,6830061,3.749,12210173,3.928,266966,3.906,9974556,3.906,9980729,4.107,516981,4.186,244500,4.275,5573372,4.298,2057057,4.398,560009,4.488,2673613,4.488,12105970,4.510,1899145,4.655,113938,4.767,1214928,4.823,473895,4.834,1487648,4.857,10667602,5.013,1241407,5.260,698723
!,!,MZ002H-Pool15-P002B1-S017-T12,MZ002H-Pool15-P002B1-S017-T12.d,Sample,,5/1/2016 5:50 PM,,,1.088,5869078,1.256,1146361,1.256,3201505,1.267,9891945,1.346,341601,1.580,895283,1.692,9328425,1.827,8877799,1.849,7706320,1.670,6725627,1.972,4218972,2.017,5585033,2.028,1739017,2.050,388197,2.084,11640298,2.151,26800,2.240,3221522,2.408,4983957,2.419,22905940,2.565,3844838,2.565,9442739,2.677,17603077,2.800,12372715,2.878,9226774,,,2.956,6924653,2.968,1476,3.001,8593095,2.956,1483134,3.079,10497170,3.113,13864539,3.079,7208764,3.158,97620,3.236,1242697,3.247,3407201,3.314,8369713,3.337,10321839,3.348,11208606,3.404,8484140,3.404,313649,3.504,9096850,3.583,178628,3.605,1983809,3.661,6384512,3.751,9833,3.941,372760,3.918,9175694,3.918,9164917,4.120,764109,4.187,351833,4.276,9237171,4.287,0,,,4.500,3793452,4.500,16275873,4.522,2718803,4.668,175416,4.780,1792371,4.824,780640,4.847,2371234,4.858,11230144,5.082,1969225,5.261,1151690
!,!,MZ002H-Pool15-P002B3-S019-T12,MZ002H-Pool15-P002B3-S019-T12.d,Sample,,5/1/2016 10:59 PM,,,1.075,6717927,1.254,1243510,1.254,3676767,1.265,10858367,1.343,389950,1.578,973893,1.690,8188102,1.824,9142990,1.847,8317222,1.679,6716969,1.970,4610631,2.014,6409643,2.026,2013203,2.048,426177,2.082,14979229,2.160,11772,2.249,4453180,2.406,5474099,2.417,23870023,2.574,3529811,2.563,10545544,2.674,18801876,2.798,14820676,2.876,10021609,,,2.954,6672683,2.798,6419,3.010,9743445,2.954,1771840,3.077,11975505,3.111,15398090,3.077,7792830,3.155,119244,3.245,1273345,3.245,3826883,3.323,9645430,3.334,11190096,3.357,13201688,3.413,10217815,3.413,376711,3.513,11630602,3.592,252531,3.603,2706275,3.659,9047299,3.760,13214,3.938,401764,3.916,11174557,3.916,11174460,4.117,832613,4.196,419137,4.285,9467197,4.274,0,4.375,0,4.509,2058940,4.509,16440872,4.531,2708977,4.666,171364,4.777,1624314,4.833,771811,4.856,2383541,4.867,11080675,5.091,1962839,5.270,844628
!,!,MZ002H-Pool15-P002B1-S020-T12,MZ002H-Pool15-P002B1-S020-T12.d,Sample,,5/2/2016 1:34 AM,,,1.088,5333060,1.267,973200,1.255,2956181,1.278,8151121,1.356,277233,1.580,726846,1.692,5828392,1.837,6683915,1.848,6382089,1.681,5649445,1.983,3428277,2.016,5045864,2.027,1826445,2.050,301586,2.083,11197739,2.184,16320,2.251,3101496,2.408,4095934,2.430,19607967,2.575,3541589,2.564,7794967,2.676,14626188,2.799,12237583,2.877,7552033,,,2.956,6254879,3.079,662,3.012,7807324,2.956,1278454,3.090,8349320,3.112,10957344,3.079,5941375,3.157,81537,3.247,1011040,3.247,2762830,3.325,6970585,3.336,8666328,3.358,10413178,3.414,7506725,3.414,288731,3.515,8270544,3.593,169100,3.605,1853893,3.660,5897644,3.761,319189,3.940,307515,3.918,9788894,3.918,9811402,4.119,695862,4.197,379094,4.287,7850366,4.276,0,4.376,0,4.511,3287988,4.511,13873265,4.533,2227752,4.667,122522,4.790,1233928,4.846,640413,4.857,1978523,4.869,9996039,5.092,1273177,5.282,479678
!,!,MZ002H-Pool15-P002A1-S013-T00,MZ002H-Pool15-P002A1-S013-T00.d,Sample,,5/2/2016 12:53 PM,,,1.065,6171257,1.232,1219120,1.232,3162830,1.244,10499131,1.322,360807,1.557,1096993,1.669,8046031,1.803,9816404,1.825,8701268,1.669,5522079,1.948,5016763,1.993,3299021,2.004,1733268,2.027,397504,2.060,13479237,2.127,34297,2.217,4557102,2.385,6093957,2.407,25112171,2.552,2839117,2.541,11685828,2.642,20895298,2.776,15108020,2.854,11576306,2.888,0,2.933,9032913,2.933,1166,2.977,9917420,2.933,2297807,3.056,13686259,3.089,17313996,3.056,8877753,3.123,133224,3.212,1643400,3.224,4462963,3.291,10179784,3.302,12073969,3.335,12550239,3.380,9689229,3.380,328216,3.492,11623288,3.570,381977,3.570,2793465,3.626,9390843,3.738,21498,3.917,471230,3.895,13191838,3.895,13236127,4.085,1054574,4.163,381413,4.253,10939826,4.275,2893912,4.387,1040776,4.477,4421926,4.477,17882715,4.499,3162571,4.633,237560,4.745,2796173,4.801,933003,4.812,3125384,4.834,14960481,5.047,4680833,5.237,1980233
!,!,MZ002H-Pool15-P002A2-S014-T00,MZ002H-Pool15-P002A2-S014-T00.d,Sample,,5/2/2016 3:27 PM,,,1.076,5464362,1.244,1129463,1.244,3459657,1.255,9402575,1.333,323576,1.557,900300,1.669,7639590,1.814,8455411,1.825,7764178,1.680,4770272,1.948,4391766,1.993,4567645,2.004,1579102,2.027,366400,2.060,11640663,2.127,27069,2.228,4158794,2.385,5326850,2.407,22869404,2.552,3425828,2.541,10040953,2.653,18644173,2.776,14994731,2.854,10609082,2.877,0,2.933,7363858,2.944,1570,2.977,9117251,2.933,2003255,3.056,12726792,3.089,15412934,3.056,8069286,3.123,120933,3.212,1511935,3.224,4460587,3.291,9693805,3.302,11111998,3.335,12018927,3.380,9212828,3.380,315950,3.492,11032195,3.570,416941,3.570,2775887,3.626,9330392,3.738,155994,3.917,433670,3.895,11605357,3.895,11602786,4.085,914019,4.163,407486,4.253,9603156,4.275,2696485,4.387,895905,4.465,3739206,4.476,15739217,4.499,2710617,4.633,200526,4.745,2276756,4.801,793790,4.823,2609828,4.834,11066170,4.991,3567866,5.248,1638791
!,!,MZ002H-Pool15-P002A1-S016-T00,MZ002H-Pool15-P002A1-S016-T00.d,Sample,,5/2/2016 8:37 PM,,,1.064,5392674,1.232,1042558,1.232,2895647,1.254,9223810,1.321,313255,1.556,1036557,1.668,7692386,1.802,9222537,1.825,7738484,1.702,5645310,1.948,4653707,1.992,988391,2.004,1883442,2.026,373829,2.060,13936957,2.127,36416,2.216,4671764,2.384,5217470,2.406,23256682,2.552,2953760,2.541,10434428,2.641,18132653,2.776,13824451,2.854,9905968,2.854,0,2.932,6787243,,,2.977,9445256,2.932,1913095,3.055,11505220,3.089,14723509,3.055,7550260,3.122,111978,3.212,1412416,3.223,4118986,3.290,8468966,3.312,10727445,3.335,11452464,3.380,8385972,3.380,280200,3.491,9852414,3.570,265069,3.570,2224573,3.626,7027053,3.738,3245,3.917,410392,3.894,11281716,3.894,11282507,4.084,940737,4.163,373334,4.252,10602546,4.274,2704240,4.386,921931,4.476,3917999,4.476,17038595,4.498,2896288,4.632,204089,4.744,2246476,4.800,895282,4.823,2839159,4.834,13299389,5.046,3714208,5.248,1507329
