Sample,,,,,,,DIGITOXIN Results,,DIGOXIN Results,,IS_SPARTEINE Results,,CIMETIDINE Results,,ATENOLOL Results,,FENSPIRIDE HYDROCHLORIDE Results,,NALOXONE HYDROCHLORIDE Results,,PIDOTIMOD Results,,ERGONOVINE MALEATE Results,,ROPINIROLE HYDROCHLORIDE Results,,HYOSCYAMINE Results,,THIABENDAZOLE Results,,ESZOPICLONE Results,,IS_EMETINE Results,,LOFEXIDINE  HYDROCHLORIDE Results,,IS_CAFFEINE Results,,IS_YOHIMBINE Results,,METHYSERGIDE MALEATE Results,,IS_SULFAMETHOXAZOLE Results,,PYRIMETHAMINE Results,,TAMSULOSIN HYDRCHLORIDE Results,,NEFOPAM Results,,VENLAFAXINE HYDROCHLORIDE Results,,IS_EYTHROMYCINE Results,,METHOCARBAMOL Results,,PHENAZOPYRIDINE HYDROCHLORIDE Results,,SPIPERONE Results,,PENTOXIFYLLINE Results,,CYCLOPHOSPHAMIDE Results,,DIPHENYLPYRALINE HYDROCHLORIDE Results,,LOXAPINE SUCCINATE Results,,ORPHENADRINE CITRATE Results,,PERICIAZINE Results,,DULOXETINE HYDROCHLORIDE Results,,CARVEDILOL Results,,ERGOTAMINE TARTRATE Results,,TRIHEXYPHENIDYL HYDROCHLORIDE Results,,METOLAZONE Results,,ANAGRELIDE HYDROCHLORIDE Results,,INDAPAMIDE Results,,PHENYTOIN SODIUM Results,,RAMIPRIL Results,,METAXALONE Results,,TERBINAFINE HYDROCHLORIDE Results,,CARISOPRODOL Results,,OXETHAZAINE Results,,RAMELTEON Results,,IS_MIFEPRISTONE Results,,BETAMETHASONE ACETATE Results,,WARFARIN Results,,ARTEMISININ Results,,VALSARTAN Results,,CELECOXIB Results,,SULFINPYRAZONE Results,,OXAPROZIN Results,,BETAMETHASONE VALERATE Results,,MEGESTROL ACETATE Results,,DANAZOL Results,,NATEGLINIDE Results,,IS_IPRIFLAVONE Results,,MEVASTATIN Results,,ITRACONAZOLE Results,,TACROLIMUS Results,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
!,!,MZ002H-Pool18-P002B1-S017-T00,MZ002H-Pool18-P002B1-S017-T00.d,Sample,,4/30/2016 9:58 PM,,,,,1.076,5133146,1.132,9015778,1.155,5172563,1.244,5636461,1.233,3467697,1.289,165661,1.524,5165324,1.647,1274880,1.524,18998,1.759,9192887,1.882,950553,1.636,6746962,1.949,3439661,2.005,1866496,2.049,12358623,2.206,4240332,2.228,3442624,2.262,6568886,2.273,2888540,2.307,11680115,,,2.542,3282461,2.542,1010464,2.665,4743129,2.676,7155859,2.777,14592000,2.844,4640178,2.888,5817405,2.967,1171355,2.911,1871068,2.933,342479,2.922,1467541,3.000,71232,3.023,347670,3.034,11369805,3.280,2779774,3.202,1138558,3.280,2765443,3.414,434495,3.459,14151625,3.526,3143667,3.504,7253010,3.783,1516244,3.873,6382062,3.906,3386484,3.873,5234198,4.197,748791,4.242,21358735,4.276,1975515,4.432,3021456,4.522,590713,4.443,2082328,4.533,11006368,4.745,1114195,4.712,11373786,4.824,4401561,4.824,1408798,4.835,8759082,4.958,1623626,5.081,39239,5.249,584790
!,!,MZ002H-Pool18-P002B3-S019-T00,MZ002H-Pool18-P002B3-S019-T00.d,Sample,,5/1/2016 3:07 AM,,,,,1.063,5993491,1.130,9520107,1.153,5613325,1.242,5996326,1.242,3638686,1.287,191166,1.522,5908651,1.645,1380614,,,1.768,10666211,1.880,804855,1.645,6775759,1.947,4007482,2.003,2092863,2.059,13604156,2.215,4921544,2.227,3395286,2.271,6846302,2.282,2953876,2.305,13226918,,,2.551,4311844,2.540,951059,2.663,6297497,2.674,8587050,2.775,16052813,2.853,5239256,2.886,6899875,2.965,1529813,2.909,2141557,2.931,412105,2.920,1908062,3.010,78898,3.010,397708,3.043,14560916,3.289,2889091,3.200,1702669,3.289,2785508,3.412,508168,3.468,20100612,3.535,4072319,3.502,9597354,3.781,1942085,3.882,9045756,3.904,4787120,3.882,7506953,4.206,745758,4.240,24759484,4.285,1590432,4.430,4737800,4.520,906892,4.441,3472506,4.542,15674559,4.755,1803226,4.721,15751535,4.822,5871221,4.822,2337138,4.833,13481769,4.967,2505583,5.079,115425,5.247,1083723
!,!,MZ002H-Pool18-P002B1-S020-T00,MZ002H-Pool18-P002B1-S020-T00.d,Sample,,5/1/2016 5:41 AM,,,,,1.076,6409563,1.132,9067871,1.154,5187875,1.243,5879471,1.243,3520338,1.299,203679,1.523,5992824,1.646,1449091,1.736,31297,1.769,10977669,1.881,848619,1.646,6601568,1.948,4257600,2.004,1994086,2.060,12171730,2.217,5151722,2.228,3104054,2.273,7156688,2.284,3018920,2.317,14452322,,,2.552,3619614,2.541,1046056,2.664,7110960,2.686,8808476,2.776,17569222,2.854,5783051,2.888,7155854,2.966,1582345,2.921,2209238,2.933,438480,2.921,1951596,3.011,52929,3.011,410230,3.044,14496331,3.291,2941002,3.201,1731944,3.291,2935305,3.414,509656,3.470,18869390,3.537,3908091,3.503,10755712,3.783,1860006,3.883,8692163,3.917,4878950,3.883,7693010,4.208,900898,4.241,25777460,4.286,2630143,4.432,4478897,4.521,873595,4.443,3354943,4.543,14980960,4.756,1626761,4.722,15925601,4.834,8537682,4.823,2016562,4.845,13257547,4.968,2891842,5.080,121549,5.248,1137362
!,!,MZ002H-Pool18-P002B1-S017-T12,MZ002H-Pool18-P002B1-S017-T12.d,Sample,,5/1/2016 7:14 PM,,,,,1.075,6358379,1.143,9622654,1.154,5841043,1.254,6583553,1.243,3629310,1.299,193206,1.534,4782553,1.646,1713853,1.747,32770,1.769,12006050,1.881,763920,1.657,7833316,1.948,4237749,2.015,1970242,2.060,12612271,2.216,4506093,2.228,3196633,2.272,8481742,2.284,3719145,2.306,15001231,,,2.552,4038821,2.552,927457,2.686,14372,2.686,9193148,2.787,16039301,2.854,5235453,2.888,6936904,2.955,1547333,2.910,2143726,2.932,471038,2.921,1905461,3.011,71579,3.011,400582,3.044,14321824,3.290,2783245,3.212,1767498,3.290,2790983,3.424,466024,3.469,16548652,3.536,2958113,3.514,2977116,3.794,1321282,3.883,7904648,3.917,4927170,3.894,6486194,4.208,966968,4.252,29085563,4.252,0,4.442,5243685,4.532,790614,4.465,4179620,4.543,16725029,4.756,1651626,4.722,17123182,4.834,54925,4.834,2525772,4.845,11344351,4.968,2435237,5.091,115110,5.259,970234
!,!,MZ002H-Pool18-P002B3-S019-T12,MZ002H-Pool18-P002B3-S019-T12.d,Sample,,5/2/2016 12:23 AM,,,,,1.086,6393404,1.142,8808224,1.153,5126529,1.254,5631466,1.243,3326228,1.299,181723,1.534,3973213,1.657,1382799,1.746,18453,1.780,9915752,1.892,691542,1.679,6365210,1.959,3565340,2.015,2107167,2.059,14712939,2.227,3540901,2.238,4252457,2.283,6269903,2.283,2572654,2.328,12181963,,,2.563,3226305,2.552,852071,2.663,0,2.686,7243493,2.786,15877840,2.865,4996767,2.898,5576966,2.988,1289772,2.932,1610632,2.943,350427,2.932,1475364,3.021,60895,3.033,351932,3.055,11273713,3.301,2653081,3.223,1423011,3.301,2646759,3.424,471586,3.475,15861248,3.547,3703221,3.525,3471588,3.793,1476665,3.883,6782673,3.927,3899640,3.894,7101678,4.218,626608,4.252,22275483,4.241,0,4.453,3926611,4.532,589598,4.464,3133188,4.554,13226436,4.766,1186055,4.733,862180,,,4.845,1910919,4.856,9457985,4.979,1459552,5.102,76181,5.259,458530
!,!,MZ002H-Pool18-P002B1-S020-T12,MZ002H-Pool18-P002B1-S020-T12.d,Sample,,5/2/2016 11:41 AM,,,,,1.052,4688366,1.119,8069522,1.130,5030808,1.231,5266171,1.219,2858890,1.275,206850,1.510,4297284,1.622,1340552,1.712,24468,1.745,10031915,1.857,534372,1.656,4376418,1.924,4010753,1.991,1474725,2.036,10338678,2.193,4255661,2.204,3006804,2.237,6530464,2.260,2632920,2.282,12498768,,,2.528,3866787,2.517,875433,2.618,0,2.662,8439697,2.763,14855234,2.819,4833133,2.853,6195661,2.942,1445523,2.886,1729316,2.909,425307,2.897,1832656,2.987,56643,2.987,358304,3.020,13203682,3.266,2460703,3.188,1836289,3.266,2375557,3.390,453425,3.445,18065128,3.513,3455940,3.490,3572076,3.770,1444155,3.859,8100725,3.893,4441549,3.871,6697210,4.184,989175,4.217,25418794,4.206,0,4.419,5651382,4.497,931639,4.430,3888805,4.519,17362129,4.732,1593016,4.687,16281692,4.799,32655,4.799,2801172,4.810,10990791,4.933,2912870,5.067,156432,5.224,1024152
!,!,MZ002H-Pool18-P002A1-S013-T00,MZ002H-Pool18-P002A1-S013-T00.d,Sample,,5/2/2016 2:16 PM,,,,,1.054,6245437,1.121,8905256,1.132,5177926,1.233,5550760,1.222,3783972,1.277,203686,1.512,6028354,1.624,1504606,1.714,20763,1.747,11086201,1.870,887139,1.680,5633368,1.926,4432574,1.993,1982131,2.038,14304598,2.195,5633633,2.206,4871279,2.251,8325527,2.262,3315922,2.295,14001963,,,2.530,2493823,2.519,1075456,2.642,6696358,2.665,9317900,2.765,16560104,2.821,6016369,2.866,6842848,2.944,1666177,2.888,1818862,2.911,450444,2.899,2209873,2.989,65328,3.000,360360,3.022,13683489,3.269,3129515,3.179,1788655,3.269,3020183,3.392,494962,3.436,16844100,3.515,3380676,3.481,11658528,3.761,1344184,3.861,10208396,3.884,4195630,3.873,7693085,4.186,794392,4.219,22302716,4.253,2532918,4.421,5118412,4.499,1002095,4.432,3237545,4.521,15181504,4.734,1814362,4.689,15495642,4.801,8869051,4.801,2201347,4.812,11259735,4.935,3067058,5.070,208169,5.226,1354922
!,!,MZ002H-Pool18-P002A2-S014-T00,MZ002H-Pool18-P002A2-S014-T00.d,Sample,,5/2/2016 4:51 PM,,,,,1.072,5583061,1.128,8208953,1.150,5129838,1.240,5329253,1.229,3395022,1.285,183954,1.508,5959492,1.631,1481504,1.721,21782,1.754,10902381,1.866,725010,1.665,5360279,1.922,4026505,1.989,1857983,2.045,12906663,2.202,5943483,2.202,3956968,2.247,7621971,2.258,3042302,2.291,13919257,,,2.537,3864063,2.515,909196,2.638,6869876,2.661,8801345,2.761,16211675,2.828,5477703,2.862,7054785,2.940,1608596,2.884,2022612,2.907,467982,2.895,2132594,2.996,69415,2.996,388871,3.018,14930851,3.265,2910153,3.186,1872848,3.265,2900594,3.388,510074,3.444,18244209,3.511,3195989,3.488,10610399,3.768,1467635,3.857,11155000,3.891,4585754,3.880,8607913,4.182,760097,4.215,24608204,4.260,2649437,4.417,6009263,4.495,1121310,4.428,3691167,4.517,16790427,4.730,1985623,4.696,16538811,4.808,9876687,4.808,2561024,4.808,13229241,4.931,3163020,5.066,261848,5.222,1483666
!,!,MZ002H-Pool18-P002A1-S016-T00,MZ002H-Pool18-P002A1-S016-T00.d,Sample,,5/2/2016 10:00 PM,,,,,1.075,5866471,1.131,8452035,1.143,4911172,1.243,5257661,1.232,3401973,1.277,189304,1.512,6124161,1.635,1542335,1.713,10220,1.758,11283105,1.870,805946,1.702,5022789,1.937,4094965,1.993,1976469,2.037,14001926,2.194,6007793,2.205,4464553,2.250,8822189,2.261,3422690,2.295,14510380,,,2.530,2374053,2.518,1046177,2.641,7032001,2.664,9048144,2.764,16665564,2.820,5590555,2.865,6752696,2.943,1586318,2.888,1886854,2.910,422784,2.899,1977036,2.988,51107,2.988,307208,3.022,13940937,3.268,2976226,3.190,1712117,3.268,2858730,3.391,494066,3.446,16470888,3.503,2978360,3.480,10766200,3.760,1171457,3.850,9472004,3.883,4004883,3.883,6996295,4.174,830902,4.219,23291799,4.252,2587874,4.420,5608818,4.498,1171717,4.431,3047536,4.521,15621674,4.733,1911579,4.689,14529659,4.800,9270741,4.800,2290804,4.812,12282222,4.935,2848427,5.069,265491,5.225,1770196
