Sample,,,,,,,CLOPIDOGREL SULFATE Results,,IS_SPARTEINE Results,,GALANTAMINE Results,,PIDOTIMOD Results,,AMINOGLUTETHIMIDE Results,,APOMORPHINE HYDROCHLORIDE Results,,AZATADINE MALEATE Results,,AMISULPRIDE Results,,IS_EMETINE Results,,METHYLPHENIDATE HYDROCHLORIDE Results,,METOPROLOL TARTRATE Results,,TACRINE HYDROCHLORIDE Results,,ZIDOVUDINE [AZT] Results,,FAMCICLOVIR Results,,IS_CAFFEINE Results,,ACEBUTOLOL HYDROCHLORIDE Results,,IS_YOHIMBINE Results,,PITAVASTATIN CALCIUM  Results,,METICRANE Results,,IS_SULFAMETHOXAZOLE Results,,PYRIMETHAMINE Results,,TAMSULOSIN HYDRCHLORIDE Results,,TERAZOSIN HYDROCHLORIDE Results,,NOSCAPINE HYDROCHLORIDE Results,,KETOTIFEN FUMARATE Results,,CLOZAPINE Results,,IS_EYTHROMYCINE Results,,METHOCARBAMOL Results,,RANOLAZINE Results,,MEBHYDROLIN NAPHTHALENESULFONATE Results,,ENALAPRIL MALEATE Results,,TENOXICAM Results,,DULOXETINE HYDROCHLORIDE Results,,CARVEDILOL Results,,PREDNISONE Results,,CAMYLOFINE DIHYDROCHLORIDE Results,,DOXAZOSIN MESYLATE Results,,METOLAZONE Results,,SOLIFENACIN SUCCINATE Results,,THIOTHIXENE Results,,DIPYRIDAMOLE Results,,PENBUTOLOL SULFATE Results,,BENZTHIAZIDE Results,,DABIGATRAN ETEXILATE MESYLATE Results,,METHOXSALEN Results,,ENTACAPONE Results,,REBAMIPIDE Results,,TOLAZAMIDE Results,,OLMESARTAN MEDOXOMIL Results,,KETOROLAC TROMETHAMINE Results,,IS_MIFEPRISTONE Results,,MIFEPRISTONE Results,,SULINDAC Results,,LOSARTAN Results,,REPAGLINIDE Results,,DEFLAZACORT Results,,BEZAFIBRATE Results,,ISRADIPINE Results,,DIFLORASONE DIACETATE Results,,ETODOLAC Results,,MEGESTROL ACETATE Results,,IS_IPRIFLAVONE Results,,DANAZOL Results,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
!,!,MZ002H-Pool20-P002B1-S017-T00,MZ002H-Pool20-P002B1-S017-T00.d,Sample,,4/30/2016 10:04 PM,,,1.065,4981953,1.121,4816411,1.289,169748,1.568,559946,1.658,2275799,1.624,42023,1.680,6973931,1.658,6375581,1.960,2936972,1.971,22493028,2.005,8138344,2.061,24476,2.005,4035287,2.016,1607150,2.049,14535202,2.072,11721410,2.184,2889559,2.228,216062,2.228,3532565,2.284,7254090,2.295,3265069,2.351,3717311,2.374,11502682,2.396,4609013,2.497,3816190,2.564,3161955,2.553,921849,2.553,6475267,2.799,2821609,2.888,521916,2.877,7743370,2.944,1414428,3.023,70547,3.090,70915,3.123,15304649,3.067,5948520,3.168,2703530,3.235,1629804,3.313,3305854,3.291,6248548,3.336,3613159,3.313,1010623,3.481,12779967,3.414,10979642,3.571,64109,3.671,688107,3.761,21794872,3.738,6336380,3.794,3194806,3.895,8083662,3.895,8077802,4.052,46737,4.029,10655340,4.197,14274132,4.220,11623391,4.264,6155398,4.421,188903,4.421,5434734,4.544,2024334,4.723,11573779,4.846,7394048,4.835,3361725
!,!,MZ002H-Pool20-P002B3-S019-T00,MZ002H-Pool20-P002B3-S019-T00.d,Sample,,5/1/2016 3:13 AM,,,1.065,6089644,1.121,4860059,1.289,191068,1.568,617543,1.658,2474298,1.624,18460,1.680,6662572,1.658,6136404,1.960,3400329,1.982,24490280,2.004,9625781,2.060,19392,2.004,4439298,2.016,1776699,2.060,15417946,2.072,12188120,2.183,2743178,2.239,215867,2.239,3601264,2.284,7429980,2.295,3171197,2.362,3957161,2.385,12366389,2.407,4917807,2.508,4142447,2.564,3542282,2.553,892766,2.564,7168119,2.799,3123168,2.899,611140,2.877,8501307,2.944,1644324,3.022,75634,3.090,52082,3.123,18692961,3.067,6843625,3.168,3042121,3.235,1963658,3.324,3991945,3.302,7163513,3.336,4468779,3.324,1101283,3.492,8453167,3.414,13298052,3.559,131495,3.682,882991,3.761,25891285,3.738,7544486,3.805,4353583,3.906,10201378,3.906,10190968,4.052,73523,4.029,12103759,4.197,15013812,4.231,12126644,4.275,7243264,4.432,226692,4.432,6528885,4.544,2479621,4.734,13793483,4.857,10884549,4.846,1072214
!,!,MZ002H-Pool20-P002B1-S020-T00,MZ002H-Pool20-P002B1-S020-T00.d,Sample,,5/1/2016 5:48 AM,,,1.076,6009602,1.132,4527634,1.299,179491,1.568,585140,1.657,1958099,1.635,32914,1.680,7059168,1.669,6488987,1.959,3320434,1.982,24384051,2.004,9440585,2.071,14584,2.015,4502668,2.026,1706618,2.060,14453161,2.071,10932816,2.183,2410891,2.239,181171,2.239,3333171,2.284,7441325,2.295,3106941,2.362,3943197,2.384,12355559,2.407,5162455,2.496,4234742,2.563,3538835,2.552,914051,2.563,7028050,2.798,3032951,2.899,621220,2.888,8585867,2.944,1730028,3.033,67189,3.100,71081,3.123,18263205,3.067,6483383,3.179,2782039,3.235,1836325,3.324,4344424,3.302,7131663,3.346,4383545,3.324,1129795,3.503,10690543,3.425,13185459,3.559,287857,3.682,906619,3.760,25265838,3.749,6586574,3.805,4227612,3.906,11187222,3.906,11182051,4.051,103535,4.040,12795786,4.197,16432036,4.230,12873742,4.275,7823119,4.432,284798,4.432,7145328,4.543,2680438,4.734,15394684,4.857,13287043,4.845,6922838
!,!,MZ002H-Pool20-P002B1-S017-T12,MZ002H-Pool20-P002B1-S017-T12.d,Sample,,5/1/2016 7:20 PM,,,1.076,6166602,1.120,5172614,1.299,187751,1.579,798150,1.668,2558753,1.635,27281,1.691,8633484,1.668,7099607,1.970,2875655,1.993,23570044,2.015,9060836,2.060,20923,2.015,4295336,2.026,1640680,2.060,14617199,2.082,10700844,2.194,2214787,2.239,213222,2.250,3476814,2.306,8448873,2.306,3716245,2.362,3813517,2.396,9972060,2.418,4540443,2.507,4043647,2.563,3559688,2.563,774471,2.563,6890115,2.809,2754570,2.899,592515,2.888,8034180,2.955,1486930,3.033,80396,3.100,96480,3.134,16541065,3.067,5960745,3.179,2642281,3.246,1949021,3.324,4154159,3.313,6290086,3.346,3814556,3.324,1061234,3.492,16582425,3.425,10996255,3.570,0,3.682,778157,3.771,21171936,3.749,2593001,3.816,3828230,3.917,8825115,3.917,8835362,4.062,119064,4.040,12712716,4.208,16540288,4.230,11836806,4.275,8618138,4.431,276646,4.431,7118270,4.554,2736753,4.745,14094483,4.868,8194558,4.856,36675
!,!,MZ002H-Pool20-P002B3-S019-T12,MZ002H-Pool20-P002B3-S019-T12.d,Sample,,5/2/2016 12:30 AM,,,1.086,6265585,1.131,5182478,1.299,188042,1.578,832823,1.668,2526847,,,1.690,7300170,1.679,6295083,1.970,2913779,1.992,24297646,2.015,9417462,2.071,16370,2.015,4462340,2.026,1738815,2.071,16142578,2.082,12648396,2.194,2445916,2.249,238551,2.249,4142475,2.294,7647465,2.305,3036152,2.373,4013725,2.395,10285451,2.417,5184459,2.518,4100524,2.574,3361939,2.563,806440,2.574,6959820,2.809,2877453,2.909,605806,2.898,8568477,2.954,1539134,3.033,74433,3.100,50401,3.133,17494461,3.077,6319625,3.189,2825628,3.234,2082560,3.335,3411447,3.312,6711042,3.346,4085223,3.335,1145288,3.502,8035670,3.424,11255852,3.514,0,3.693,935060,3.771,25672228,3.748,4329935,3.816,4300903,3.916,10478395,3.916,10524177,4.062,109904,4.050,12830256,4.218,15519018,4.241,9356581,4.285,8347736,4.442,250126,4.442,6532552,4.554,2593777,4.744,1272921,4.867,8608181,,
!,!,MZ002H-Pool20-P002B1-S020-T12,MZ002H-Pool20-P002B1-S020-T12.d,Sample,,5/2/2016 11:48 AM,,,1.065,4372025,1.109,3442296,1.277,172417,1.557,778138,1.646,2224302,1.624,33898,1.680,5570050,1.657,3996248,1.948,2403684,1.971,22066377,1.993,8311375,1.892,25536,1.993,4123232,2.004,1356748,2.049,13402296,2.060,9103698,2.172,1731789,2.217,188228,2.217,3360649,2.273,6437340,2.284,2728394,2.351,3489430,2.373,8737398,2.384,4328030,2.496,3482222,2.552,3495549,2.541,717968,2.541,6021197,2.787,2645070,2.888,542558,2.865,7375695,2.933,1425921,3.011,46427,3.078,107117,3.112,14663400,3.056,5294584,3.156,2252941,3.223,1960300,3.313,3930210,3.291,6102109,3.324,3515745,3.302,1044180,3.481,11152973,3.402,10705008,,,3.671,964409,3.738,23663982,3.738,2807916,3.783,5020463,3.895,9404437,3.895,9395425,4.029,155545,4.018,12779505,4.185,15850503,4.208,12783946,4.253,9966447,4.409,229021,4.409,6423639,4.521,2648553,4.711,13807678,4.834,9355635,4.812,0
!,!,MZ002H-Pool20-P002A1-S013-T00,MZ002H-Pool20-P002A1-S013-T00.d,Sample,,5/2/2016 2:23 PM,,,1.063,6534487,1.119,4581848,1.287,212116,1.555,900563,1.645,2935810,1.623,46158,1.678,7803275,1.678,6201912,1.947,3412003,1.969,25979220,1.992,10100915,2.036,10498,2.003,2578606,2.003,1726169,2.048,16027619,2.059,12593836,2.171,3220007,2.227,259659,2.227,5227387,2.271,8993733,2.283,3841798,2.350,4792385,2.372,13691054,2.394,6133875,2.484,5055821,2.551,2626744,2.551,321812,2.551,8231327,2.786,3415420,2.887,627155,2.864,8999133,2.931,2067880,3.010,75852,3.077,106038,3.110,19389186,3.054,7686344,3.155,3034417,3.222,2052152,3.312,5272655,3.289,7516258,3.323,4418972,3.300,1300775,3.491,13120609,3.401,11900444,3.547,410017,3.658,1002218,3.737,23909386,3.737,5715916,3.781,5476619,3.893,12379996,3.893,12360774,4.028,227278,4.016,14717617,4.184,16200106,4.207,11260316,4.251,10755997,4.408,291206,4.408,7712686,4.520,3121993,4.710,15220005,4.833,9828030,4.822,9577778
!,!,MZ002H-Pool20-P002A2-S014-T00,MZ002H-Pool20-P002A2-S014-T00.d,Sample,,5/2/2016 4:57 PM,,,1.064,5713529,1.109,4777360,1.288,200421,1.556,975566,1.646,2538173,1.623,17125,1.668,7080977,1.679,4821447,1.948,3486279,1.970,24723592,1.993,10105739,2.037,21007,1.993,3855766,2.004,1620250,2.049,15752227,2.060,11135943,2.172,2674806,2.216,220889,2.216,4191373,2.272,8762156,2.283,3619929,2.351,4353005,2.362,13649340,2.384,5436044,2.485,5025413,2.541,3697493,2.530,831330,2.541,7641759,2.787,3444008,2.888,692493,2.865,9164442,2.932,2124403,3.011,82673,3.078,104520,3.100,20320049,3.055,7795939,3.156,3067945,3.212,2274136,3.301,5492527,3.279,7831103,3.324,4740607,3.301,1288397,3.492,12258244,3.402,12593589,3.536,479305,3.659,1193090,3.738,24857070,3.738,6033870,3.782,5641485,3.894,12616618,3.894,12613670,4.029,255216,4.017,15292669,4.185,18497449,4.208,13615275,4.252,11286544,4.409,339211,4.409,7977116,4.521,3392297,4.711,17001111,4.834,12891010,4.823,10138049
!,!,MZ002H-Pool20-P002A1-S016-T00,MZ002H-Pool20-P002A1-S016-T00.d,Sample,,5/2/2016 10:07 PM,,,1.061,5907479,1.106,4277763,1.285,197862,1.554,857878,1.643,1987239,1.621,26977,1.677,7104904,1.721,5369143,1.945,3224691,1.968,24552550,1.990,9581190,2.035,14726,2.001,875718,2.001,1616154,2.046,15238271,2.057,12262319,2.169,2959261,2.225,278857,2.225,4930285,2.270,8935830,2.281,3567460,2.348,4095207,2.370,12485903,2.393,5089702,2.493,4415279,2.549,2400776,2.538,845833,2.538,7332503,2.784,3082836,2.885,580181,2.862,8319655,2.930,1835846,3.008,55714,3.075,147119,3.108,17989850,3.053,6478001,3.153,2467530,3.220,1912566,3.310,4122815,3.287,6738800,3.321,3965842,3.299,1119463,3.478,12721837,3.399,10618718,3.545,464379,3.668,945690,3.735,20744502,3.735,4450919,3.780,4794517,3.903,10983104,3.903,10978160,4.026,190605,4.026,13924441,4.194,17500948,4.205,10738118,4.249,11185359,4.406,274227,4.406,6784887,4.518,3173792,4.708,14232310,4.831,12463879,4.820,9012784
