Sample,,,,,,,SOTALOL HYDROCHLORIDE Results,,IS_SPARTEINE Results,,GALANTAMINE Results,,NALOXONE HYDROCHLORIDE Results,,FENSPIRIDE HYDROCHLORIDE Results,,PIDOTIMOD Results,,CLONIDINE HYDROCHLORIDE Results,,SUMATRIPTAN SUCCINATE Results,,NEOSTIGMINE BROMIDE Results,,TINIDAZOLE Results,,ROXATIDINE ACETATE HYDROCHLORIDE Results,,IS_EMETINE Results,,FAMCICLOVIR Results,,ZIDOVUDINE [AZT] Results,,IS_CAFFEINE Results,,IS_YOHIMBINE Results,,IS_SULFAMETHOXAZOLE Results,,BRIVUDINE Results,,DIACETAMATE Results,,IS_EYTHROMYCINE Results,,VILAZODONE HYDROCHLORIDE Results,,PHENAZOPYRIDINE HYDROCHLORIDE Results,,OMEPRAZOLE Results,,DILTIAZEM HYDROCHLORIDE Results,,PERICIAZINE Results,,PANTOPRAZOLE Results,,ERGOTAMINE TARTRATE Results,,FLUOXETINE Results,,RAMIPRIL Results,,BENAZEPRIL HYDROCHLORIDE Results,,ENTACAPONE Results,,METAXALONE Results,,MEBENDAZOLE Results,,RILUZOLE Results,,CETIRIZINE HYDROCHLORIDE Results,,QUINAPRIL HYDROCHLORIDE Results,,DICYCLOMINE HYDROCHLORIDE Results,,PRANOPROFEN Results,,FAMPROFAZONE Results,,TOLAZAMIDE Results,,BISACODYL Results,,CARISOPRODOL Results,,TRANDOLAPRIL Results,,KETOROLAC TROMETHAMINE Results,,VORICONAZOLE Results,,TELMISARTAN Results,,GRISEOFULVIN Results,,RAMELTEON Results,,IS_MIFEPRISTONE Results,,BICALUTAMIDE Results,,LOSARTAN Results,,IRBESARTAN Results,,EZETIMIBE Results,,REPAGLINIDE Results,,DEFLAZACORT Results,,ARTEMISININ Results,,SULFASALAZINE Results,,NITRENDIPINE Results,,DIFLORASONE DIACETATE Results,,VALSARTAN Results,,RACECADOTRIL Results,,LEVONORGESTREL Results,,ETODOLAC Results,,TRANILAST Results,,OXAPROZIN Results,,PACLITAXEL Results,,CYPROTERONE ACETATE Results,,INDOMETHACIN Results,,NORETHINDRONE ACETATE Results,,NATEGLINIDE Results,,DANAZOL Results,,IS_IPRIFLAVONE Results,,RITONAVIR Results,,LOVASTATIN Results,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
,!,MZ009F-Plate1-L001-OD333-T08,MZ009F-Plate1-L001-OD333-T08.d,Sample,,10/18/17 11:49,0.974,3195705,1.042,3850460,1.053,5984296,1.165,3439260,1.153,5168504,1.299,272384,1.176,8102749,1.243,3247792,1.176,2354227,1.679,44467,1.847,33775,1.567,3860824,1.981,6702121,1.881,5379,1.993,1176744,1.97,10585501,2.239,4363749,2.093,25662,2.373,21562,2.462,2571984,2.574,5210086,2.608,5901066,2.91,4866182,2.82,16677017,2.832,10380575,3.122,10340825,3.178,50847,3.167,5049216,3.401,22067107,3.503,1441512,3.536,107919,3.503,3653064,3.615,4107926,3.637,6581731,3.603,6746417,3.603,9984108,3.76,1540,3.648,3808498,3.704,13118757,3.704,26638515,4.051,5505,3.749,1543653,3.727,10286875,3.782,4222694,3.816,4142901,3.76,8454799,3.827,12671253,3.883,13292105,3.861,7389820,3.984,755247,4.017,10354187,4.085,23195788,4.118,88171,4.152,20044216,4.163,14340930,4.196,5877,4.409,12963,4.353,1012050,4.364,11969651,4.431,9131446,4.107,2572,4.443,12280279,4.476,1391300,4.409,309967,4.498,18200764,4.588,300040,4.599,11658896,4.622,3241691,4.677,8592997,4.812,10185544,4.868,14667,4.789,12975949,4.879,12341482,5.024,3548265
,!,MZ009F-Plate1-L002-OD333-T08,MZ009F-Plate1-L002-OD333-T08.d,Sample,,10/18/17 11:55,0.985,2727169,1.041,3553226,1.074,4162655,1.175,3509134,1.175,5365910,1.309,247229,1.197,7822024,1.253,3382881,1.186,2581111,1.69,35611,2.059,32603,1.578,4001355,1.981,6747703,1.802,15153,2.003,1261882,1.969,10662398,2.238,4747306,2.104,24430,2.383,18906,2.473,952758,2.574,6033244,2.634,6581166,2.909,4650462,2.831,16845398,2.842,10535595,3.133,10062906,3.2,37187,3.178,4934055,3.401,22203514,3.502,1444661,3.536,80309,3.513,3754503,3.625,4012510,3.648,6834878,3.603,6577293,3.603,9605435,3.748,1249,3.648,3976194,3.703,13600905,3.715,23996098,4.017,7242,3.759,1568934,3.737,9938136,3.793,4455736,3.815,4183034,3.771,8595848,3.827,12665179,3.894,12780874,3.86,7908713,3.983,730748,4.028,9995847,4.095,21270649,4.129,76471,4.151,20037676,4.162,13355845,4.576,15073,4.408,10963,4.364,1042131,4.364,10971120,4.431,7807259,4.129,3252,4.442,11881013,4.487,1391088,4.408,306352,4.509,16350651,4.598,297912,4.61,11429806,4.632,2899044,4.677,9033500,4.811,9603188,4.688,2346,4.789,13877462,4.878,11679128,5.035,3500370
,!,MZ009F-Plate1-L003-OD333-T08,MZ009F-Plate1-L003-OD333-T08.d,Sample,,10/18/17 12:02,0.974,2986727,1.041,3290321,1.053,5123747,1.165,3595454,1.153,5350596,1.299,253560,1.176,7839516,1.243,3327210,1.176,2275727,1.679,50967,1.825,29913,1.567,4187981,1.981,7048207,1.802,9741,2.004,1226039,1.97,11060418,2.239,4725744,2.093,22549,2.373,28222,2.473,2509444,2.574,5672525,2.608,6006272,2.91,4537847,2.82,16503985,2.831,10054726,3.122,9773733,3.178,61271,3.167,4701501,3.402,21695479,3.503,1396691,3.536,80323,3.503,3740256,3.615,4104131,3.637,6028060,3.603,6828728,3.603,9651740,3.961,561,3.648,3696307,3.704,13327264,3.704,26475737,4.029,6509,3.749,1571591,3.726,10233770,3.782,3989518,3.816,4035074,3.76,8487642,3.827,12375411,3.883,12675676,3.861,7518806,3.984,781988,4.017,9882963,4.084,22549831,4.118,75262,4.152,20064665,4.163,13193295,4.208,3101,4.409,10206,4.353,1111339,4.364,11320252,4.431,8565872,4.118,3323,4.442,11796847,4.476,1351201,4.409,315668,4.498,17213574,4.588,321089,4.61,11379074,4.621,3132457,4.677,8863498,4.812,9678825,4.666,5430,4.789,13908409,4.879,11961887,5.024,3896754
!,!,MZ009F-Plate1-L004-OD333-T08,MZ009F-Plate1-L004-OD333-T08.d,Sample,,10/18/17 12:08,0.986,2422980,1.065,3301799,1.076,3381240,1.176,3592923,1.176,5538790,1.311,250659,1.199,7551019,1.255,3212477,1.188,2109027,1.68,35738,1.836,12047,1.579,4293562,1.982,6531885,2.049,2573,2.004,1376029,1.971,10800733,2.239,4653074,2.094,20745,2.385,28532,2.474,2438519,2.575,6256887,2.627,6746507,2.922,4529061,2.832,16272110,2.843,10969625,3.123,9774787,3.168,45369,3.179,5069930,3.403,20843659,3.503,1377936,3.537,82433,3.503,3691818,3.615,4011040,3.649,6844474,3.604,6535635,3.604,9345098,3.727,2896,3.649,3901241,3.705,14353307,3.705,23918289,4.029,4739,3.761,1528502,3.727,9856531,3.783,4318809,3.817,4034233,3.772,8818533,3.828,12641341,3.895,12373399,3.861,7332408,3.984,765460,4.029,9624036,4.096,20500017,4.13,77754,4.152,20173257,4.175,13205669,,,4.421,10181,4.365,1158425,4.376,10862578,4.432,7500284,4.119,1565,4.443,11908222,4.488,1447733,4.421,327033,4.51,16174414,4.589,322076,4.611,11717506,4.633,3021994,4.678,9368816,4.812,9630624,4.835,7399,4.79,14152463,4.879,11460411,5.036,3895549
,!,MZ009F-Plate1-L005-OD333-T08,MZ009F-Plate1-L005-OD333-T08.d,Sample,,10/18/17 12:15,0.985,2814566,1.053,3361601,1.075,3340278,1.164,3516912,1.164,5375575,1.31,233492,1.187,7253024,1.243,3273713,1.187,2269520,1.679,42380,2.071,19228,1.567,4058209,1.981,6805517,1.813,13833,2.004,1196855,1.97,11004528,2.238,4655897,2.093,21873,2.361,27000,2.473,2530806,2.574,5629209,2.619,6601730,2.91,4563541,2.82,15945850,2.831,10833787,3.122,9765733,3.201,53114,3.178,5037389,3.402,21105911,3.503,1374860,3.547,83861,3.503,3872884,3.614,4226712,3.637,6350089,3.603,7009492,3.603,9416858,3.693,3858,3.648,3787047,3.704,14204690,3.704,26550999,4.028,5086,3.749,1586442,3.726,10188927,3.782,4110424,3.816,3960404,3.76,8591864,3.827,12389295,3.883,12407366,3.861,8347336,3.984,791894,4.017,9445762,4.084,21315610,4.118,88583,4.151,19785249,4.163,13168634,4.219,6387,4.398,10982,4.353,1117132,4.364,11574268,4.431,8058282,4.174,3961,4.442,12070027,4.476,1350807,4.409,301237,4.498,16725852,4.588,332679,4.599,11754912,4.621,3043249,4.677,9194626,4.811,9772936,4.811,6822,4.789,15028629,4.879,11877877,5.024,4337117
,!,MZ009F-Plate1-L006-OD333-T08,MZ009F-Plate1-L006-OD333-T08.d,Sample,,10/18/17 12:21,0.988,2537486,1.055,3206178,1.066,3949911,1.167,3699275,1.167,5654424,1.312,263885,1.189,7947255,1.256,3332664,1.189,2193199,1.681,47205,1.838,13635,1.581,4490130,1.983,6097040,1.782,20288,2.006,1399087,1.972,11196395,2.241,4717961,2.095,22415,2.375,22525,2.476,2574985,2.576,6040625,2.599,6441441,2.912,4584341,2.822,16803830,2.845,11045299,3.124,9946137,3.191,53397,3.18,4971878,3.404,22024462,3.505,1448273,3.549,83578,3.505,3823126,3.617,4072440,3.65,6895563,3.605,6990563,3.605,9841007,3.717,5954,3.65,4050389,3.706,14556095,3.706,24510365,4.019,4185,3.762,1574886,3.728,10275468,3.784,4348871,3.818,4180021,3.773,9023357,3.829,12697253,3.885,12740911,3.863,8429077,3.986,778451,4.031,9946083,4.098,20923176,4.12,107086,4.154,20375597,4.165,13409612,4.601,3993,4.411,10839,4.366,1191543,4.366,11290120,4.433,8108767,4.12,9753,4.444,12447929,4.489,1497142,4.411,318788,4.512,16413200,4.59,324567,4.612,11747192,4.623,3215911,4.679,9906177,4.814,9930596,4.847,8891,4.791,15068993,4.881,11609944,5.037,4142300
!,!,MZ009F-Plate1-L007-OD333-T08,MZ009F-Plate1-L007-OD333-T08.d,Sample,,10/18/17 12:28,0.974,2924310,1.052,3246939,1.063,4981711,1.164,3446612,1.164,5228080,1.298,247856,1.186,7190587,1.242,3160895,1.175,2278431,1.678,38559,1.835,9315,1.578,3687927,1.981,6756368,1.802,15207,1.992,1162013,1.969,10537096,2.238,4736134,2.092,22077,2.361,24708,2.473,1943251,2.574,5279801,2.607,5714615,2.909,4491059,2.82,15411850,2.831,10182569,3.122,9474327,3.189,38708,3.166,4791099,3.399,21136334,3.502,1350958,3.536,77833,3.502,3751195,3.614,4163117,3.636,5989741,3.603,6960567,3.603,9610506,3.704,6235,3.636,3784851,3.704,13521803,3.704,26413850,4.039,6912,3.748,1571367,3.726,10067179,3.782,4089693,3.815,3904897,3.759,8462082,3.827,12229609,3.883,12427870,3.86,7448321,3.983,772654,4.017,9534098,4.084,21731819,4.117,60998,4.151,19254824,4.162,13130566,,,4.419,9787,4.364,1080877,4.364,11246888,4.431,8280320,4.117,1626,4.442,11767914,4.475,1337180,4.408,323791,4.498,16610079,4.587,316536,4.61,11324095,4.621,2966922,4.677,9025451,4.811,9811237,4.845,3886,4.789,13839193,4.878,11513259,5.035,4508535
,!,MZ009F-Plate1-L008-OD333-T08,MZ009F-Plate1-L008-OD333-T08.d,Sample,,10/18/17 12:34,0.999,2911180,1.055,3871179,1.077,4168646,1.178,3688308,1.178,5468706,1.323,270338,1.2,7548562,1.256,3425835,1.189,2589288,1.692,47675,2.061,32111,1.58,4526027,1.983,6718516,1.782,20499,2.005,1259341,1.972,10809843,2.24,4522018,2.106,23142,2.375,18838,2.475,2921776,2.576,5591033,2.598,6461749,2.912,4617828,2.822,16346905,2.845,10357742,3.124,10226343,3.191,32403,3.169,4668543,3.407,22507272,3.505,1422709,3.538,96897,3.505,3676111,3.616,3832072,3.639,6782010,3.605,6499612,3.605,9321707,3.717,2059,3.65,4024810,3.706,13961379,3.706,24783103,4.042,4737,3.762,1617137,3.728,10393596,3.784,4501121,3.818,4165502,3.762,8389299,3.829,12720097,3.885,12839978,3.863,8043619,3.986,758320,4.03,9952845,4.098,21789423,4.12,63505,4.153,20466739,4.165,13889687,4.209,3416,4.422,7403,4.366,1094655,4.366,11181840,4.433,8303225,4.131,3745,4.444,12007657,4.478,1491557,4.411,327106,4.511,16029071,4.59,307426,4.612,11347556,4.623,3138481,4.679,9514255,4.814,9810386,4.814,8264,4.791,14560570,4.881,11191841,5.037,4183827
,!,MZ009F-Plate1-L009-OD333-T08,MZ009F-Plate1-L009-OD333-T08.d,Sample,,10/18/17 12:41,0.975,2901269,1.042,3412033,1.054,4167413,1.154,3641851,1.154,5526553,1.3,279389,1.177,8022359,1.244,3401930,1.177,2051640,1.68,53793,1.825,5893,1.568,4345074,1.971,7269335,1.781,11974,2.004,1217364,1.971,11187422,2.239,4531504,2.094,23864,2.374,24526,2.474,2775885,2.575,5671360,2.597,6408501,2.911,4854139,2.821,16913125,2.832,10842422,3.123,10298163,3.201,50915,3.168,5110677,3.4,22583203,3.504,1438871,3.537,93196,3.504,3855451,3.615,4225667,3.638,6262080,3.604,7028729,3.604,10151504,3.705,3592,3.638,3857725,3.705,14259674,3.705,27100248,4.063,5598,3.75,1605810,3.727,10433366,3.783,4181868,3.817,4077922,3.772,8332106,3.828,12761511,3.884,13165672,3.862,7636291,3.985,760475,4.029,10001743,4.085,20581066,4.119,135122,4.152,19884492,4.164,12861122,4.578,18993,4.432,8530,4.354,1172717,4.365,11543528,4.432,8476394,4.13,2917,4.443,12098688,4.477,1323805,4.41,306800,4.51,17045291,4.589,298094,4.6,11492899,4.622,2937532,4.678,8852067,4.812,9519376,4.812,22459,4.79,14269127,4.88,12022049,5.025,3953840
