Sample,,,,,,,IS_SPARTEINE Results,,NALOXONE HYDROCHLORIDE Results,,FENSPIRIDE HYDROCHLORIDE Results,,PIDOTIMOD Results,,TINIDAZOLE Results,,ROXATIDINE ACETATE HYDROCHLORIDE Results,,IS_EMETINE Results,,FAMCICLOVIR Results,,IS_CAFFEINE Results,,IS_YOHIMBINE Results,,IS_SULFAMETHOXAZOLE Results,,DIACETAMATE Results,,IS_EYTHROMYCINE Results,,VILAZODONE HYDROCHLORIDE Results,,PHENAZOPYRIDINE HYDROCHLORIDE Results,,DILTIAZEM HYDROCHLORIDE Results,,PERICIAZINE Results,,PANTOPRAZOLE Results,,FLUOXETINE Results,,ENTACAPONE Results,,METAXALONE Results,,MEBENDAZOLE Results,,RILUZOLE Results,,CETIRIZINE HYDROCHLORIDE Results,,QUINAPRIL HYDROCHLORIDE Results,,FAMPROFAZONE Results,,BISACODYL Results,,TELMISARTAN Results,,GRISEOFULVIN Results,,IS_MIFEPRISTONE Results,,BICALUTAMIDE Results,,IRBESARTAN Results,,DEFLAZACORT Results,,ARTEMISININ Results,,SULFASALAZINE Results,,NITRENDIPINE Results,,DIFLORASONE DIACETATE Results,,RACECADOTRIL Results,,LEVONORGESTREL Results,,ETODOLAC Results,,PACLITAXEL Results,,CYPROTERONE ACETATE Results,,NORETHINDRONE ACETATE Results,,DANAZOL Results,,IS_IPRIFLAVONE Results,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
!,!,MZ009F-4Pool-P6-R01-T12,MZ009F-4Pool-P6-R01-T12.d,Sample,,2/22/2018 10:28 PM,1.032,1248295,1.177,2027044,1.177,2343259,1.278,86127,1.658,646878,1.792,796821,1.613,2281006,1.949,2822322,1.983,386832,1.960,2608403,2.195,1074198,2.318,19439,2.452,1011625,2.564,1036488,2.542,1116465,2.788,6980125,2.810,4145503,3.045,2154449,3.101,1091478,3.470,112000,3.437,1289500,3.537,2113414,3.537,1168781,3.549,2821720,3.526,4499393,3.582,4881754,3.716,2335,3.694,5452171,3.761,5111756,3.761,2415188,3.895,222594,3.996,10620741,4.086,5991092,,,4.332,51531,4.265,331139,4.287,3684911,4.321,1065591,4.365,5074450,4.399,830951,4.500,66539,4.522,3130184,4.589,2819237,4.701,185997,4.701,4187620
,!,MZ009F-4Pool-P6-R03-T12,MZ009F-4Pool-P6-R03-T12.d,Sample,,2/22/2018 10:34 PM,1.030,1387402,1.175,1952655,1.175,2329806,1.287,86707,1.645,700639,1.779,1023301,1.600,2394179,1.947,2767884,1.969,396604,1.958,2747741,2.182,857816,2.316,59878,2.439,985155,2.551,1316935,2.529,1325084,2.786,6766321,2.797,4150301,3.055,2094505,3.088,1203427,3.457,129129,3.424,1322377,3.524,2250735,3.547,1183474,3.547,3108708,3.524,4358326,3.614,5222959,3.636,11530,3.703,5638271,3.748,5175275,3.782,2570682,3.894,213166,4.005,10118800,4.084,5694383,4.486,1064,4.307,43121,4.263,422467,4.285,3756333,4.319,1338217,4.352,5243388,4.386,833288,4.498,66018,4.520,3380120,4.587,3096691,4.699,169238,4.699,4348131
,!,MZ009F-4Pool-P6-R05-T12,MZ009F-4Pool-P6-R05-T12.d,Sample,,2/22/2018 10:41 PM,1.021,1262606,1.177,2046373,1.177,2400907,1.289,87679,1.658,707437,1.781,980371,1.613,2456546,1.949,2948800,1.983,408630,1.960,2948557,2.195,1170832,2.329,63600,2.441,933548,2.564,1491789,2.542,1339523,2.799,6869337,2.811,4296174,3.045,2071396,3.101,1245078,3.471,111873,3.437,1228915,3.549,2195279,3.538,1185989,3.549,2931916,3.526,4537236,3.582,4964488,3.616,8728,3.705,5782029,3.761,4979179,3.773,2562855,3.907,214500,4.008,10279033,4.097,5545262,4.075,417,4.332,38039,4.276,449477,4.298,3718092,4.321,1362430,4.366,5411943,4.399,846341,4.511,70376,4.533,3665786,4.600,3389547,4.712,151735,4.712,4711342
,!,MZ009F-4Pool-P6-R07-T12,MZ009F-4Pool-P6-R07-T12.d,Sample,,2/22/2018 10:47 PM,1.021,1289116,1.166,2036485,1.166,2378101,1.278,84571,1.647,699594,1.782,1100409,1.603,2434683,1.950,2773886,1.972,390269,1.950,2784182,2.184,850656,2.319,76228,2.442,987618,2.554,1457625,2.531,1249402,2.789,6851163,2.800,4202336,3.057,2121718,3.091,1250586,3.460,126213,3.426,1309370,3.527,2287098,3.549,1225529,3.549,3167772,3.527,4492054,3.616,5561927,3.639,14672,3.706,5763219,3.751,5094053,3.784,2604809,3.896,230830,4.008,10050716,4.086,5682039,4.523,4123,4.310,37330,4.265,476722,4.288,3781257,4.321,1465451,4.355,5369885,4.388,842740,4.500,71556,4.523,3754439,4.590,3602061,4.702,122341,4.702,4699824
,!,MZ009F-4Pool-P6-R09-T12,MZ009F-4Pool-P6-R09-T12.d,Sample,,2/22/2018 10:54 PM,1.029,1190911,1.175,1965794,1.175,2226470,1.287,77048,1.656,682736,1.790,1022287,1.611,2331000,1.947,2670588,1.980,385344,1.969,2645790,2.193,1128291,2.327,65928,2.450,1008184,2.562,1398631,2.540,1289697,2.797,6614807,2.808,4085871,3.054,2014104,3.099,1158526,3.468,124006,3.435,1253894,3.535,2168803,3.547,1181268,3.558,2917569,3.524,4560256,3.580,5091552,3.636,12932,3.703,5958128,3.759,4857645,3.770,2687155,3.905,224500,4.005,10099452,4.095,5422546,4.497,2276,4.330,30649,4.274,465563,4.296,3596769,4.319,1415080,4.363,5240342,4.397,839730,4.509,70447,4.531,3597803,4.598,3594452,4.710,110513,4.710,4745979
,!,MZ009F-4Pool-P6-R11-T12,MZ009F-4Pool-P6-R11-T12.d,Sample,,2/22/2018 11:00 PM,1.020,1235354,1.166,2005305,1.166,2321707,1.267,86178,1.647,664191,1.781,918408,1.602,2353021,1.949,2773697,1.971,408873,1.949,2881228,2.184,872127,2.318,47087,2.441,918509,2.553,1440145,2.531,1323976,2.777,6603559,2.799,4019637,3.045,2063273,3.090,1274108,3.459,112335,3.426,1282775,3.526,2202319,3.549,1172304,3.549,3007401,3.526,4219428,3.605,5177337,3.627,5814,3.694,5342129,3.750,4798839,3.784,2598459,3.895,205758,4.007,8730762,4.086,4700839,4.511,2971,4.309,23334,4.265,424588,4.287,3572355,4.321,1174266,4.354,5068484,4.388,813241,4.500,68009,4.522,3431231,4.589,3438258,4.701,85776,4.701,4390483
,!,MZ009F-4Pool-P6-R13-T12,MZ009F-4Pool-P6-R13-T12.d,Sample,,2/22/2018 11:06 PM,1.032,1185111,1.178,2007131,1.178,2318145,1.278,86215,1.659,669165,1.793,940143,1.614,2310287,1.949,2788945,1.983,393767,1.961,2767161,2.196,1115006,2.330,59584,2.453,929192,2.565,1424283,2.542,1302216,2.788,6707248,2.811,4091244,3.046,2036669,3.102,1165556,3.471,119749,3.437,1252133,3.538,2168970,3.538,1161143,3.549,2866575,3.527,4506377,3.583,4984267,3.627,7657,3.706,5605364,3.762,4754543,3.773,2576795,3.907,211875,4.008,10030849,4.097,5558988,4.534,388,4.332,20684,4.276,459643,4.299,3610520,4.321,1270859,4.366,5166105,4.399,822012,4.511,69299,4.522,3661122,4.601,3455477,4.701,75450,4.701,4442422
,!,MZ009F-4Pool-P6-R15-T12,MZ009F-4Pool-P6-R15-T12.d,Sample,,2/22/2018 11:13 PM,1.018,1645795,1.163,1989668,1.163,2434495,1.275,82803,1.644,670387,1.779,866327,1.600,2228246,1.947,2952414,1.969,385255,1.958,2798390,2.181,850681,2.316,50478,2.439,908432,2.551,1381307,2.528,1341976,2.786,7009286,2.797,4189548,3.054,2171787,3.088,1225930,3.457,127884,3.423,1261929,3.524,2210320,3.546,1209115,3.546,2999762,3.524,4267487,3.613,5521002,3.636,5066,3.692,5437873,3.748,5222663,3.781,2550795,3.893,233731,4.005,10551329,4.083,5952028,4.508,1506,4.307,18506,4.262,466838,4.285,3785030,4.318,1239105,4.363,5491363,4.396,880047,4.508,70564,4.520,3782505,4.598,3707130,4.699,60745,4.710,4488896
,!,MZ009F-4Pool-P6-R02-T12,MZ009F-4Pool-P6-R02-T12.d,Sample,,2/22/2018 11:19 PM,1.043,1860204,1.188,1762003,1.188,2243823,1.289,73500,1.658,677517,1.792,1059816,1.613,2185686,1.949,2724488,1.982,352600,1.960,2488354,2.195,1061389,2.318,61061,2.452,1014359,2.564,1163466,2.542,1195563,2.788,6975950,2.810,4076862,3.045,2153788,3.101,1069193,3.470,136207,3.437,1244168,3.548,2174816,3.548,1184572,3.548,2948979,3.526,4625766,3.582,4968471,3.627,8337,3.705,5468966,3.761,5208226,3.772,2105601,3.906,220075,4.007,10270253,4.097,5368720,4.287,516,4.331,17823,4.276,440315,4.298,3642530,4.320,1401466,4.365,5541978,4.399,868681,4.510,70824,4.533,3649006,4.600,3445711,4.701,49135,4.712,3999873
