ID;MV01;MV02;MV03;MV04;MV05;MV06;MV07;MV08;MV09;MV10;MV11;MV12;MV13;MV14;MV15;MV16;MV17;MV18;MV19;MV20;MV21;MV22;MV23;MV24;MV25;MV26;MV27;MV28
Shannon's diversity index;5.51;5.62;5.38;5.03;5.07;4.94;5.68;5.65;5.04;4.89;5.76;5.45;4.72;5.21;5.47;5.36;4.68;5.53;4.66;5.68;5.13;5.80;5.06;5.54;5.76;4.94;5.67;5.45
k__Archaea;0.12729;0.06643;0.39074;0;0;0;0;0.00659;0.01805;0.52072;0;0;0;0;0;0.0523;0;0.07368;0;0.05373;0;0;0.3302;0.09335;0.89672;0.51563;0;0
k__Archaea|p__Euryarchaeota;0.12729;0.06643;0.39074;0;0;0;0;0.00659;0.01805;0.52072;0;0;0;0;0;0.0523;0;0.07368;0;0.05373;0;0;0.3302;0.09335;0.89672;0.51563;0;0
k__Archaea|p__Euryarchaeota|c__Methanobacteria;0.12729;0.06643;0.39074;0;0;0;0;0.00659;0.01805;0.52072;0;0;0;0;0;0.0523;0;0.07368;0;0.05373;0;0;0.3302;0.09335;0.89672;0.51563;0;0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales;0.12729;0.06643;0.39074;0;0;0;0;0.00659;0.01805;0.52072;0;0;0;0;0;0.0523;0;0.07368;0;0.05373;0;0;0.3302;0.09335;0.89672;0.51563;0;0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae;0.12729;0.06643;0.39074;0;0;0;0;0.00659;0.01805;0.52072;0;0;0;0;0;0.0523;0;0.07368;0;0.05373;0;0;0.3302;0.09335;0.89672;0.51563;0;0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter;0.12729;0.06643;0.39074;0;0;0;0;0.00659;0.01805;0.52072;0;0;0;0;0;0;0;0.07368;0;0.05373;0;0;0.3302;0.09335;0.89672;0.51563;0;0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii;0.12729;0.06643;0.39074;0;0;0;0;0.00659;0.01763;0.52072;0;0;0;0;0;0;0;0.07368;0;0.05373;0;0;0.3302;0.09335;0.89672;0.51563;0;0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii|t__Methanobrevibacter_smithii_unclassified;0.12729;0.06643;0.39074;0;0;0;0;0.00659;0.01763;0.52072;0;0;0;0;0;0;0;0.07368;0;0.05373;0;0;0.3302;0.09335;0.89672;0.51563;0;0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified;0;0;0;0;0;0;0;0;0.00042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0523;0;0;0;0;0;0;0;0;0;0;0;0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0523;0;0;0;0;0;0;0;0;0;0;0;0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae|t__GCF_000012545;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0523;0;0;0;0;0;0;0;0;0;0;0;0
k__Bacteria;99.87271;99.93357;99.60926;100;99.8286;99.99801;99.88965;99.99341;99.98195;99.47928;100;99.94786;100;100;99.99769;99.94445;100;99.92632;100;99.94627;100;100;99.66372;99.90665;99.10328;99.48437;100;100
k__Bacteria|p__Actinobacteria;3.59618;25.96125;20.36184;0.88711;8.58811;35.43993;16.51556;8.24782;3.92947;70.5284;24.69018;41.92317;70.46987;31.45803;17.46813;2.96618;0.09126;21.65822;22.50871;20.79597;4.2705;22.17815;1.99274;4.00504;7.30115;2.79462;28.97332;5.08373
k__Bacteria|p__Actinobacteria|c__Actinobacteria;3.59618;25.96125;20.36184;0.88711;8.58811;35.43993;16.51556;8.24782;3.92947;70.5284;24.69018;41.92317;70.46987;31.45803;17.46813;2.96618;0.09126;21.65822;22.50871;20.79597;4.2705;22.17815;1.99274;4.00504;7.30115;2.79462;28.97332;5.08373
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales;0;0;0.00023;0;0;0;0;0;0;0;0;0.0106;0;0;0;0.00223;0;0;0;0;0;0;0.00191;0;0;0.01129;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae;0;0;0.00023;0;0;0;0;0;0;0;0;0.00175;0;0;0;0.00223;0;0;0;0;0;0;0.00191;0;0;0.01129;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces;0;0;0.00023;0;0;0;0;0;0;0;0;0;0;0;0;0.00223;0;0;0;0;0;0;0.00191;0;0;0.01129;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus;0;0;0.00023;0;0;0;0;0;0;0;0;0;0;0;0;0.00223;0;0;0;0;0;0;0;0;0;0;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus|t__Actinomyces_odontolyticus_unclassified;0;0;0.00023;0;0;0;0;0;0;0;0;0;0;0;0;0.00223;0;0;0;0;0;0;0;0;0;0;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_turicensis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00191;0;0;0.01129;0;0
