QuantifiedProtein;MV01;MV02;MV03;MV04;MV05;MV06;MV07;MV08;MV09;MV10;MV11;MV12;MV13;MV14;MV15;MV16;MV17;MV18;MV19;MV20;MV21;MV22;MV23;MV24;MV25;MV26;MV27;MV28
BACDOR_00665;35.66404844;7.373055643;19.82255756;52.23181934;5.096195026;64.82600842;25.45409868;32.40372396;15.28947202;37.60218283;23.90031322;56.21629296;5.666738686;5.017727367;24.52118225;37.37207026;4.029785945;11.41944159;1.388534581;20.5823648;7.439574142;21.26297936;0.266378456;13.2863098;9.663220908;1.672287504;28.15487395;12.16342605
BACDOR_03091;68.75081214;8.472674722;27.23715737;75.96553454;6.833679017;105.8274373;29.20110247;32.15056987;29.53234329;38.09791473;38.08204352;63.24332958;6.007110977;10.49289792;23.78040278;58.11392757;4.94530294;13.99502217;1.284394488;22.18281921;3.93677465;26.03630126;0;15.71598219;13.84473095;0.836143752;41.74143505;18.40419926
BACDOR_03642;42.55369417;7.145492198;24.31291338;30.33189953;4.122255532;74.19829421;27.07350714;30.01763156;16.38157717;31.1793668;32.18683381;69.38944216;3.936105104;5.942045566;15.80838269;44.01878074;3.692749303;8.603749329;1.181731558;25.29275675;6.606341838;29.25730731;0.040442073;12.2206638;10.87878464;1.13114685;33.50260902;14.69477961
BACDOR_03937;26.41368588;5.55904989;14.97136959;37.68219903;5.351004777;57.47179738;12.16545461;20.8309654;12.8712392;22.032529;19.61423881;38.01745914;2.575790312;3.112500058;11.98851143;34.39807042;0;7.149563433;0;10.20341112;2.678246691;14.97087322;0;7.38128322;6.01944824;0;19.15944608;8.970018206
BT_0152;4.22581824;0;3.823058354;4.117373146;1.486390216;5.674545555;6.551938487;1.687693956;0;0.432010373;5.297055234;2.501148627;0;0.825284106;2.450717815;3.135240794;0;2.31698815;0;1.919996717;0;0;4.162163372;4.592798448;0;0;0;3.001871172
BT_0569;4.652130295;0;1.367872783;2.058686573;1.315820847;8.711822807;3.786509905;1.073484025;0;0.973203695;2.383674855;3.407758057;0.134155745;0.324701943;2.048960796;4.272408049;0;2.644595081;0;1.961963858;0;0;4.928638267;2.439924175;0;1.306474612;0.233896272;2.218968855
BT_2068;15.60302119;0.325090637;8.123999001;7.215206275;5.632636607;4.023768666;6.077865015;2.209344815;0;0.386535597;3.934955317;7.276068735;0;5.401859605;9.198148683;10.45080265;0;6.003105661;0;2.094541873;0;0.399680063;4.540541861;0.626290697;0;1.659015381;0;3.274768551
BT_3124;7.651481547;0;4.202068449;0.912156512;3.615543768;9.079272888;1.885073211;2.314551711;0;1.836044084;1.026813784;3.890675643;0;1.67596157;7.504371944;4.180321058;0;3.047730566;0;1.669562362;0;0.175244335;9.719213929;0.476944454;0;0;0.385612773;2.655217744
BT_4091;5.461057418;0;0;3.248776619;0;9.225712774;7.343393073;2.314551711;0;1.049168048;5.746942117;0;0;0.990340928;6.359396914;5.076104142;0;2.018021937;0;0;0;0;9.022496085;2.2649417;0;1.7181036;0.71338363;3.929722262
BT_4096;7.182343089;0.465470685;3.631787731;4.807760966;3.100917519;8.714014784;7.99441845;1.25371551;0;1.955633162;7.17510209;0;0;0.921745885;5.786417064;3.426112887;0;1.913270518;0;1.510145201;0;0;7.290962045;6.8345215;0;2.86687219;0.462703668;5.97237483
COLAER_00815;1.401947435;3.901314661;0.442508325;0;0;0;0;0.473308584;0;10.11533784;0;0.363295331;9.254498012;6.998778064;2.294247404;0;0;5.452688593;0;2.799548285;0.814612588;0;0.055805542;0;9.583290407;1.080213646;0;0
