MOLENAME;TherapeuticIndication;TargetedRT;TargetedMZ;DrugPoolNumbers;EstimatedColonConcentrationMaier2018uM;SMILES;STATUS;TradeName;cas;iupacName;molArea;molCACO2;molFormula;molHALFLIFE;molHERG;molLD50;molLogP;molLogS;molPAINS;molPAMPA;molPGPINHIB;molPGPSUBST;molPSA;molVolume;molWeight;name;ref;salt_name;salt_smiles;smiles;source;Number_of_aliphatic_carboxylic_acids;Number_of_aliphatic_hydroxyl_groups;Number_of_aliphatic_hydroxyl_groups_excluding_tert_OH;Number_of_N_functional_groups_attached_to_aromatics;Number_of_Aromatic_carboxylic_acide;Number_of_aromatic_nitrogens;Number_of_aromatic_amines;Number_of_aromatic_hydroxyl_groups;Number_of_carboxylic_acids;Number_of_carboxylic_acids2;Number_of_carbonyl_O;Number_of_carbonyl_O__excluding_COOH;Number_of_thiocarbonyl;Number_of_C_OH_CCN_Ctert_alkyl_or_C_OH_CCNcyclic;Number_of_Imines;Number_of_Tertiary_amines;Number_of_Secondary_amines;Number_of_Primary_amines;Number_of_hydroxylamine_groups;Number_of_XCCNR_groups;Number_of_tert_alicyclic_amines;Number_of_H_pyrrole_nitrogens;Number_of_thiol_groups;Number_of_aldehydes;Number_of_alkyl_carbamates__subject_to_hydrolysis_;Number_of_alkyl_halides;Number_of_allylic_oxidation_sites_excluding_steroid_dienone;Number_of_amides;Number_of_amidine_groups;Number_of_anilines;Number_of_aryl_methyl_sites_for_hydroxylation;Number_of_azide_groups;Number_of_azo_groups;Number_of_barbiturate_groups;Number_of_benzene_rings;Number_of_benzodiazepines_with_no_additional_fused_rings;Bicyclic;Number_of_diazo_groups;Number_of_dihydropyridines;Number_of_epoxide_rings;Number_of_esters;Number_of_ether_oxygens__including_phenoxy_;Number_of_furan_rings;Number_of_guanidine_groups;Number_of_halogens;Number_of_hydrazine_groups;Number_of_hydrazone_groups;Number_of_imidazole_rings;Number_of_imide_groups;Number_of_isocyanates;Number_of_isothiocyanates;Number_of_ketones;Number_of_ketones_excluding_diaryl;Number_of_beta_lactams;Number_of_cyclic_esters__lactones_;Number_of_methoxy_groups__OCH3;Number_of_morpholine_rings;Number_of_nitriles;Number_of_nitro_groups;Number_of_nitro_benzene_ring_substituents;Number_of_non_ortho_nitro_benzene_ring_substituents;Number_of_nitroso_groups__excluding_NO2;Number_of_oxazole_rings;Number_of_oxime_groups;Number_of_para_hydroxylation_sites;Number_of_phenols;Number_of_phenolic_OH_excluding_ortho;Number_of_phosphoric_acid_groups;Number_of_phosphoric_ester_groups;Number_of_piperdine_rings;Number_of_piperzine_rings;Number_of_primary_amides;Number_of_primary_sulfonamides;Number_of_pyridine_rings;Number_of_quarternary_nitrogens;Number_of_thioether;Number_of_sulfonamides;Number_of_sulfone_groups;Number_of_terminal_acetylenes;Number_of_tetrazole_rings;Number_of_thiazole_rings;Number_of_thiocyanates;Number_of_thiophene_rings;Number_of_unbranched_alkanes_of_at_least_4_members;Number_of_urea_groups
ABACAVIR SULFATE;antiviral;1.67;286.154209;8  10  19  21;NaN;Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1;USAN, INN, BAN;ZIAGEN;188062-50-2;(4-(3-amino-5-cyclopropylamino-2,4,7,9-tetraaza-bicyclo[4.3.0]nona-1,3,5,7-tetraen-9-yl)-cyclopent-2-enyl)-methanol;306.280152;-4.77;C14H18N6O;1.74;0;130.13;1.098443;-2.993837;0.2;-4.91;0.02;0;79.793897;288.074957;286.154209;Abacavir;"Drugs 55:729 (1998); J Am Med Assoc 285:1155 (2001)";sulfate;[O-]S([O-])(=O)=O;C1CC1Nc1c2c(nc(N)n1)n(cn2)[C@@H]1C[C@H](CO)C=C1;synthetic;0;1;1;1;0;4;0;0;0;0;0;0;0;0;0;4;1;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ACEBUTOLOL;antihypertensive, antianginal, antiarrhythmic;2.05;336.204908;2   4  17  20;NaN;CCCC(=O)Nc1ccc(OCC(O)C[NH2+]C(C)C)c(C(C)=O)c1;USAN, INN, BAN;SECTRAL;34381-68-5, 37517-30-9 [acebutolol];1-(3-acetyl-4-(2-hydroxy-3-(1-methyl-ethylamino)-propoxy)-phenylamino)-butan-1-one;412.166637;-5.06;C18H29N2O4;6.81;0.23;92.5;0.25495;-3.772184;0.17;-5.83;0.07;0.09;72.222194;358.042122;337.212732;Acebutolol;"Drugs 29:531 (1985); Am Heart J 109:1211 (1985)";chloride;[Cl-];CCCC(Nc1ccc(c(c1)C(C)=O)OCC(C[N+]C(C)C)O)=O;synthetic;0;1;1;0;0;0;0;0;0;0;2;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
ACECAINIDE;antiarrhythmic;1.34;277.179027;10  11  16  19;NaN;CC[NH+](CC)CCNC(=O)c1ccc(NC(C)=O)cc1;USAN, INN;NAPA;34118-92-8, 32795-44-1 [acecainide];1-(4-((2-diethylamino-ethylamino)-formyl)-phenylamino)-ethanone;347.481793;-4.77;C15H24N3O2;3.27;0.53;343.26;0.886546;-1.633723;0.12;-5.37;0;0.02;51.437851;308.71638;278.186852;Acecainide;"Am J Cardiol 45:1250 (1980); 47:123 (1981); Durgs 39:720 (1990)";chloride;[Cl-];CC[N+](CC)CCNC(c1ccc(cc1)NC(C)=O)=O;"synthetic; ASL-601";0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
ALFUZOSIN;alpha(1)-adrenergic blocker;2.45;389.206305;3   7   8  13;54.00086415;COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC;USAN, INN, BAN;UROXATRAL;81403-80-7;(3-((5-amino-8,9-dimethoxy-2,4-diaza-bicyclo[4.4.0]deca-1(10),2,4,6,8-pentaen-3-yl)-methyl-amino)-propylamino)-(tetrahydro-furan-2-yl)-methanone;428.862644;-4.92;C19H27N5O4;20.18;0.78;255.96;2.121699;-2.926281;0.1;-4.6;0.01;0;89.280377;384.821749;389.206304;Alfuzosin;"Br J Clin Pharmacol 25:417 (1988); Expert Opin Pharmacother 4:2057 (2003)";chloride;[Cl-];CN(CCCNC(C1CCCO1)=O)c1nc(c2cc(c(cc2n1)OC)OC)N;"synthetic; SL-77499";0;0;0;1;0;2;0;0;0;0;1;1;0;0;0;3;1;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;1;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
ALMOTRIPTAN;5HT 1B/2D receptor agonist;1.83;335.166749;9  10  15  16;NaN;C[NH+](C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12;USAN, INN, BAN;AXERT;154323-57-6, 181183-52-8(malate);9-(2-dimethylamino-ethyl)-3-((pyrrolidin-1-ylsulfonyl)-methyl)-7-aza-bicyclo[4.3.0]nona-1,3,5,8-tetraene;393.981754;-5.51;C17H26N3O2S;17.14;0.31;256.84;1.974781;-2.550928;0.06;-5.47;0;0.07;45.946134;345.943019;336.174573;Almotriptan;Expert Opin Pharmacother 4:1157 (2003);;;C[N+](C)CCc1c[nH]c2ccc(CS(N3CCCC3)(=O)=O)cc12;"synthetic; PNU-180638E, LAS-31416";0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
ALPRENOLOL;betaadrenergic blocker;2.56;249.172879;5   6  17  19;NaN;C=CCc1ccccc1OCC(O)C[NH2+]C(C)C;USAN, INN, BAN, JAN;GUBERNAL;13655-52-2, 13707-88-5 [alprenolol];1-(2-allyl-phenoxy)-3-(1-methyl-ethylamino)-propan-2-ol;325.257432;-4.84;C15H24NO2;3.76;0.48;49.2;1.031947;-3.164337;0;-4.7;0.03;0.06;35.246109;276.4116;250.180704;Alprenolol;"Clin Ter 56:121 (9171); Acta Med Scand 1984 Suppl 680:1";chloride;[Cl-];CC(C)[N+]CC(COc1ccccc1CC=C)O;synthetic;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
AMANTADINE;"antiviral, antiparkinsonian; treatment of drug-induced extrapyrimidal reactions";1.61;151.136099;8  10  16  17;NaN;[NH3+]C12CC3CC(CC(C3)C1)C2;USP, INN, BAN;SYMADINE;665-66-7, 768-94-5 [amantadine];;173.933407;-5.04;C10H18N;1.18;0;131.96;2.719573;-3.202136;0;-3.8;0;0.01;20.014456;169.338135;152.143925;Amantadine;"Toxicol Appl Pharmacol 15:642 (1967); J Neural Transm 43 Suppl:91 (1994); 46 Suppl:399 (1995)";chloride;[Cl-];C1C2CC3CC1CC(C2)(C3)[N+];synthetic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
AMINOGLUTETHIMIDE;aromatase inhibitor, antineoplastic, testosterone suppressant;1.58;232.121178;8  10  15  20;NaN;CCC1(c2ccc(N)cc2)CCC(=O)NC1=O;USP, INN, BAN;CYTADREN;125-84-8;3-(4-amino-phenyl)-3-ethyl-piperidine-2,6-dione;259.082806;-4.79;C13H16N2O2;2.63;0.11;238.37;1.348459;-2.489604;0.41;-4.88;0;0;59.387083;245.000535;232.121178;Aminoglutethimide;"Postgrad Med J 46:409 (1970); Singapore Med J 33:523 (1992); Chem Res Toxicol 20:10 (2007)";;;CCC1(CCC(NC1=O)=O)c1ccc(cc1)N;synthetic;0;0;0;1;0;0;0;0;0;0;2;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AMISULPRIDE;antipsychotic;1.68;369.172229;1   2  15  20;NaN;CC[NH+]1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC;INN, BAN;DENIBAN;71675-85-9;(4-amino-5-ethylsulfonyl-2-methoxy-phenyl)-((1-ethyl-pyrrolidin-2-yl)-methylamino)-methanone;411.2544;-5.61;C17H28N3O4S;11.01;0.37;163.92;0.631541;-2.240399;0.19;-5.52;0;0;85.321307;366.443518;370.180052;Amisulpride;"J Pharmacol Exp Ther 280:73 (1997); Int Clin Psychopharmacol  12 Suppl 2:S11 (1997)";;;CC[N+]1CCCC1CNC(c1cc(c(cc1OC)N)S(CC)(=O)=O)=O;synthetic;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;2;1;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
ANAGRELIDE;antithrombotic;3.23;254.996618;3   6  18  19;NaN;O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1;USAN, INN, BAN;AGRYLIN;58579-51-4;;230.464487;-4.7;C10H7Cl2N3O;6.51;0;244.68;1.509316;-3.861242;0;-4.98;0.01;0;39.00406;223.225393;254.996617;Anagrelide;"N Eng J Med 92:69 (1992); Expert Opin Pharmacother 5:1781 (2004)";chloride;[Cl-];C1C(NC2=Nc3ccc(c(c3CN12)[Cl])[Cl])=O;"synthetic; BL-4162a";0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
