Drug name;BACDOR_00571 p-value;BACDOR_00571 FDR;BACDOR_00571 stat;BACDOR_00571 identity;BACDOR_00571 consumed drug;BACDOR_00665 p-value;BACDOR_00665 FDR;BACDOR_00665 stat;BACDOR_00665 identity;BACDOR_00665 consumed drug;BACDOR_03091 p-value;BACDOR_03091 FDR;BACDOR_03091 stat;BACDOR_03091 identity;BACDOR_03091 consumed drug;BACDOR_03379 p-value;BACDOR_03379 FDR;BACDOR_03379 stat;BACDOR_03379 identity;BACDOR_03379 consumed drug;BACDOR_03642 p-value;BACDOR_03642 FDR;BACDOR_03642 stat;BACDOR_03642 identity;BACDOR_03642 consumed drug;BACDOR_03934 p-value;BACDOR_03934 FDR;BACDOR_03934 stat;BACDOR_03934 identity;BACDOR_03934 consumed drug;BACDOR_03937 p-value;BACDOR_03937 FDR;BACDOR_03937 stat;BACDOR_03937 identity;BACDOR_03937 consumed drug;BACDOR_03988 p-value;BACDOR_03988 FDR;BACDOR_03988 stat;BACDOR_03988 identity;BACDOR_03988 consumed drug;BT_0152 p-value;BT_0152 FDR;BT_0152 stat;BT_0152 identity;BT_0152 consumed drug;BT_0217 p-value;BT_0217 FDR;BT_0217 stat;BT_0217 identity;BT_0217 consumed drug;BT_0445 p-value;BT_0445 FDR;BT_0445 stat;BT_0445 identity;BT_0445 consumed drug;BT_0569 p-value;BT_0569 FDR;BT_0569 stat;BT_0569 identity;BT_0569 consumed drug;BT_1006 p-value;BT_1006 FDR;BT_1006 stat;BT_1006 identity;BT_1006 consumed drug;BT_1148 p-value;BT_1148 FDR;BT_1148 stat;BT_1148 identity;BT_1148 consumed drug;BT_1192 p-value;BT_1192 FDR;BT_1192 stat;BT_1192 identity;BT_1192 consumed drug;BT_1429 p-value;BT_1429 FDR;BT_1429 stat;BT_1429 identity;BT_1429 consumed drug;BT_2068 p-value;BT_2068 FDR;BT_2068 stat;BT_2068 identity;BT_2068 consumed drug;BT_2366 p-value;BT_2366 FDR;BT_2366 stat;BT_2366 identity;BT_2366 consumed drug;BT_2367 p-value;BT_2367 FDR;BT_2367 stat;BT_2367 identity;BT_2367 consumed drug;BT_2961 p-value;BT_2961 FDR;BT_2961 stat;BT_2961 identity;BT_2961 consumed drug;BT_3112 p-value;BT_3112 FDR;BT_3112 stat;BT_3112 identity;BT_3112 consumed drug;BT_3124 p-value;BT_3124 FDR;BT_3124 stat;BT_3124 identity;BT_3124 consumed drug;BT_4075 p-value;BT_4075 FDR;BT_4075 stat;BT_4075 identity;BT_4075 consumed drug;BT_4091 p-value;BT_4091 FDR;BT_4091 stat;BT_4091 identity;BT_4091 consumed drug;BT_4096 p-value;BT_4096 FDR;BT_4096 stat;BT_4096 identity;BT_4096 consumed drug;COLAER_00311 p-value;COLAER_00311 FDR;COLAER_00311 stat;COLAER_00311 identity;COLAER_00311 consumed drug;COLAER_00815 p-value;COLAER_00815 FDR;COLAER_00815 stat;COLAER_00815 identity;COLAER_00815 consumed drug;COLAER_01707 p-value;COLAER_01707 FDR;COLAER_01707 stat;COLAER_01707 identity;COLAER_01707 consumed drug;COLAER_01846 p-value;COLAER_01846 FDR;COLAER_01846 stat;COLAER_01846 identity;COLAER_01846 consumed drug;COLAER_02348 p-value;COLAER_02348 FDR;COLAER_02348 stat;COLAER_02348 identity;COLAER_02348 consumed drug;Gene combination p-value;Gene combination FDR;Gene combination stat;Gene combination identity;Gene combination consumed drug
Artemisinin;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.34511932;1.00000000;(20,68,20,65);52.239;0.600;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.34511932;0.36328350;(20,68,20,65);52.239;0.600
Bisacodyl;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.26485874;1.00000000;(6,68,6,55);80.296;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.10059642;0.72720305;(10,68,10,55);50.965;0.800;0.20932384;1.00000000;(7,68,7,55);65.248;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00324419;0.03893033;(22,68,22,55);62.016;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00232736;0.03035682;(23,68,23,55);51.273;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.26485874;1.00000000;(6,68,6,55);61.862;0.800;0.04626210;0.38023640;(13,68,13,55);53.465;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00615034;0.06962646;(20,68,20,55);51.282;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.10059642;0.72720305;(10,68,10,55);50.196;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.16471384;1.00000000;(8,68,8,55);50.216;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.07804895;0.60817362;(11,68,11,55);55.235;0.800;0.26485874;1.00000000;(6,68,6,55);50.545;0.800;0.80882353;1.00000000;(1,68,1,55);100.000;0.800;0.80882353;1.00000000;(1,68,1,55);100.000;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00116603;0.00174174;(25,68,25,55);53.465;0.800
Danazol;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.65188762;1.00000000;(13,68,13,66);53.465;0.200;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.65188762;0.65188762;(13,68,13,66);53.465;0.200
Deflazacort;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00344201;0.04049429;(6,68,6,28);80.296;0.200;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00000207;0.00006181;(9,68,10,16);50.965;0.400;0.00041903;0.00628542;(5,68,5,16);81.463;0.400;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00003999;0.00085684;(12,68,13,28);53.465;0.200;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00000207;0.00006181;(9,68,10,16);50.196;0.400;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00041903;0.00628542;(5,68,5,16);79.741;0.400;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00041903;0.00628542;(5,68,5,16);84.348;0.400;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,68,1,16);100.000;0.400;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00000003;0.00000008;(19,68,21,28);50.545;0.200
Diacetamate;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.08557819;0.64183642;(6,68,6,46);80.296;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.01402001;0.13634202;(10,68,10,46);50.965;0.800;0.05521174;0.44766272;(7,68,7,46);65.248;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00001968;0.00049194;(22,68,22,46);62.016;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00001027;0.00028000;(23,68,23,46);51.273;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.08557819;0.64183642;(6,68,6,46);61.862;0.800;0.00324419;0.03893033;(13,68,13,46);53.465;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00006830;0.00129169;(20,68,20,46);51.282;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.02235623;0.20145518;(9,68,9,46);73.797;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.01402001;0.13634202;(10,68,10,46);50.196;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.03529931;0.30256548;(8,68,8,46);50.216;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00870207;0.09323650;(11,68,11,46);55.235;0.800;0.08557819;0.64183642;(6,68,6,46);50.545;0.800;0.67647059;1.00000000;(1,68,1,46);100.000;0.800;0.67647059;1.00000000;(1,68,1,46);100.000;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00000262;0.00000583;(25,68,25,46);53.465;0.800
Diflorasone diacetate;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00921861;0.09703803;(2,68,2,7);99.095;0.600;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00003413;0.00075836;(7,68,10,11);50.965;0.400;0.00025288;0.00421474;(7,68,7,23);65.248;0.200;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00000198;0.00006181;(12,68,13,23);53.465;0.200;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00003413;0.00075836;(7,68,10,11);50.196;0.400;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00006633;0.00129169;(8,68,8,23);50.216;0.200;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00000088;0.00003113;(11,68,11,23);55.235;0.200;0.00024482;0.00419686;(5,68,6,11);50.545;0.400;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,68,1,23);100.000;0.200;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00000000;0.00000001;(18,68,21,23);50.545;0.200
Diltiazem;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00000001;0.00000061;(6,68,6,6);50.545;0.400;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00000001;0.00000003;(6,68,6,6);50.545;0.400
Drospirenone;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00121922;0.01639615;(8,68,22,10);60.630;0.200;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00121922;0.00174174;(8,68,22,10);60.630;0.200
Entacapone;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.02024352;0.18978304;(16,68,16,55);61.257;0.600;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.01518264;0.14459660;(17,68,17,55);59.524;0.600;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.20932384;1.00000000;(7,68,7,55);50.296;0.600;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00165501;0.00220668;(24,68,24,55);53.529;0.600
Famciclovir;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00035412;0.00574254;(6,68,6,20);80.296;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00000064;0.00002383;(10,68,10,20);50.965;0.800;0.00007996;0.00145388;(7,68,7,20);65.248;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00000000;0.00000000;(22,68,22,27);62.016;0.200;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00000000;0.00000000;(23,68,23,27);51.273;0.200;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00000008;0.00000451;(13,68,13,24);53.465;0.600;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00001704;0.00044456;(8,68,8,20);50.216;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00000011;0.00000548;(11,68,11,20);55.235;0.800;0.00122971;0.01639615;(6,68,6,24);50.545;0.600;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,68,1,20);100.000;0.800;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;1.00000000;1.00000000;(0,0,0,0);0.000;0.000;0.00000000;0.00000000;(23,68,24,27);53.465;0.200
