Index;MZ;RT;ParentDrug;GoodFilter;FilterNoisyT0;FilterNoisyT12;FilterDifferentMassDefect;FilterLikelyDrugFragment;FilterLikelyDrugMetaboliteFragment;PotentialFragments;IonSpectrum;LeadingMZ;DrugMassFlag;DrugMassDelta;DrugMassDeltaSmoothed;DrugConsumedFlag;NumberOfDrugs;NumberOfIncreasedT12vsT0
116;131.004;0.471;ABACAVIR SULFATE;1;0;0;0;0;0;;(132.011, 6635.45)(263.014, 1512.13);132.011;0;-155.151;-155.151;0;1;0
977;228.148;1.367;ABACAVIR SULFATE;0;0;1;0;0;0;;(267.1113, 3638.37)(229.1549, 1250438.4)(230.1581, 133991.12);229.155;0;-58.006;-58.005;0;1;2
1516;274.974;0.398;ABACAVIR SULFATE;0;0;0;1;0;0;;(275.9809, 8870.26)(276.9685, 2.83)(277.9561, 2036.09)(278.9561, 2.83)(279.9561, 0.0);275.981;0;-11.181;-11.181;0;1;1
1708;289.043;0.403;ABACAVIR SULFATE;0;1;0;0;0;0;;(312.03, 4125.06)(290.0487, 42181.36)(291.0627, 6983.97)(292.046, 4386.25);290.049;0;2.889;2.889;0;1;1
2454;336.209;4.111;ABACAVIR SULFATE;1;0;0;0;0;0;;(337.2166, 21932.64)(338.224, 5579.22)(711.3857, 1620.59);337.217;0;50.055;50.055;0;1;2
2736;354.215;4.056;ABACAVIR SULFATE;1;0;0;0;0;0;;(731.4216, 841.75)(355.227, 16478.79)(356.2304, 4129.95);355.227;0;68.061;68.061;0;1;0
2737;354.219;4.061;ABACAVIR SULFATE;1;0;0;0;0;0;;(731.4225, 646.37)(732.4338, 413.83)(355.2264, 12072.12)(356.2293, 3063.66);355.226;0;68.065;68.065;0;2;0
2985;372.229;4.069;ABACAVIR SULFATE;1;0;0;0;0;0;;(373.2366, 24113.04)(374.2394, 6512.91)(375.2391, 1778.8);373.237;0;86.075;86.075;0;1;0
3168;385.232;1.000;ABACAVIR SULFATE;0;1;1;0;0;0;;(386.2396, 67942.19)(387.2305, 17490.21)(809.4119, 2562.75)(810.4106, 1962.79)(811.417, 854.35);386.240;0;99.078;99.078;0;1;0
3250;390.235;4.060;ABACAVIR SULFATE;1;0;0;0;0;0;;(391.2474, 13884.48)(392.2505, 3276.48)(393.2415, 1196.33);391.247;0;104.081;104.081;0;1;0
3251;390.240;4.053;ABACAVIR SULFATE;1;0;0;0;0;0;;(413.227, 1404.24)(414.232, 444.89)(415.2176, 706.39)(391.2424, 14143.83)(392.2469, 3166.4)(393.2356, 859.64);391.242;0;104.086;104.086;0;1;0
3644;420.233;1.645;ABACAVIR SULFATE;0;0;0;0;1;1;;(841.4704, 8005.48)(842.4708, 472.15)(421.2397, 93612.2)(422.2292, 5197.94)(423.2253, 2317.02);421.240;0;134.078;134.079;0;1;0
4029;450.688;3.073;ABACAVIR SULFATE;0;1;1;1;0;0;;(451.6949, 8807.84)(452.6962, 1223.45);451.695;0;164.533;164.533;0;1;0
4363;482.777;2.065;ABACAVIR SULFATE;0;1;1;1;0;0;;(966.5612, 407.0)(483.7829, 526.42)(484.773, 1811.01)(485.7723, 12356.88);485.772;0;196.622;196.622;0;1;0
4386;484.282;4.072;ABACAVIR SULFATE;1;0;0;0;0;0;;(485.2894, 5826.42)(486.2916, 2093.63)(487.2881, 992.47)(969.5635, 414.65);485.289;0;198.128;198.128;0;1;0
4387;484.288;4.121;ABACAVIR SULFATE;0;1;0;0;0;0;;(485.3018, 30586.81)(486.3046, 4413.84)(487.2966, 881.84);485.302;0;198.134;198.134;0;1;0
4581;502.286;4.138;ABACAVIR SULFATE;0;1;0;0;0;0;;(503.2932, 12472.09)(504.2934, 5970.0)(505.2926, 2983.62);503.293;0;216.132;216.132;0;1;1
