qseqid; sseqid; pident; length; mismatch; gapopen; qstart; qend; sstart; send; evalue; bitscore;
BT_0152;NZ_PUEO01000014.1 Bacteroides thetaiotaomicron strain VPI-5482 Bacteroides_thetaiotaomicron.1cell.HGAP3_contig14, whole genome shotgun sequence;100;259;0;0;14;272;1959060;1959836;3.62E-174;538;
BT_0152;NZ_PUEO01000014.1 Bacteroides thetaiotaomicron strain VPI-5482 Bacteroides_thetaiotaomicron.1cell.HGAP3_contig14, whole genome shotgun sequence;27.652;264;172;8;25;272;843141;843923;4.70E-19;92;
BT_0152;CVOZ01000058.1 Bacteroides thetaiotaomicron genome assembly 7330, contig 7330contig3.5, whole genome shotgun sequence;99.614;259;1;0;14;272;56629;57405;6.77E-174;537;
BT_0152;NZ_CVOY01000040.1 Bacteroides thetaiotaomicron isolate 3731, whole genome shotgun sequence;100;259;0;0;14;272;78754;77978;1.38E-173;536;
BT_0152;NZ_PUEP01000005.1 Bacteroides ovatus strain ATCC 8483 Bacteroides_ovatus.1cell.HGAP3_contig5, whole genome shotgun sequence;85.259;251;37;0;14;264;2224578;2223826;1.90E-147;461;
BT_0152;NZ_PUEP01000005.1 Bacteroides ovatus strain ATCC 8483 Bacteroides_ovatus.1cell.HGAP3_contig5, whole genome shotgun sequence;29.617;287;163;10;14;270;5227704;5226871;1.09E-30;125;
BT_0152;NZ_PUEP01000005.1 Bacteroides ovatus strain ATCC 8483 Bacteroides_ovatus.1cell.HGAP3_contig5, whole genome shotgun sequence;25.094;267;164;7;34;271;5229184;5228405;6.67E-19;91.7;
BT_0152;NZ_JH724294.1 Bacteroides xylanisolvens CL03T12C04 supercont1.1, whole genome shotgun sequence;84.739;249;38;0;16;264;1276319;1277065;4.33E-146;457;
BT_0152;NZ_AAVM02000004.1 Bacteroides caccae ATCC 43185 B_caccae-MSIQ_Cont60, whole genome shotgun sequence;84.146;246;39;0;19;264;216499;217236;1.53E-142;447;
BT_0152;NZ_PUEQ01000003.1 Bacteroides caccae strain ATCC 43185 Bacteroides_caccae.1cell.HGAP3_contig3, whole genome shotgun sequence;84.146;246;39;0;19;264;1833976;1833239;1.53E-142;447;
BT_0152;NZ_JGDE01000048.1 Bacteroides fragilis str. DS-208 gbfDS208.contig.47, whole genome shotgun sequence;78.8;250;53;0;21;270;11596;12345;1.05E-138;436;
BT_0152;NZ_UFTH01000001.1 Bacteroides fragilis strain NCTC9343, whole genome shotgun sequence;78.8;250;53;0;21;270;3547971;3548720;1.06E-138;436;
BT_0152;JGCP01002414.1 Bacteroides fragilis str. 3397 T10 gbf3397T10.contig.2460, whole genome shotgun sequence;78.8;250;53;0;21;270;51709;52458;1.81E-138;435;
BT_0152;NZ_DS995510.1 Bacteroides eggerthii DSM 20697 Scfld2, whole genome shotgun sequence;73.359;259;69;0;14;272;209136;209912;2.72E-133;421;
BT_0152;NZ_DS995510.1 Bacteroides eggerthii DSM 20697 Scfld2, whole genome shotgun sequence;31.169;154;97;3;24;169;640756;640298;1.14E-09;64.3;
BT_0152;NZ_ABJL02000008.1 Bacteroides intestinalis DSM 17393 B_intestinalis-2.0.1_Cont607, whole genome shotgun sequence;74.603;252;64;0;21;272;1128321;1127566;8.25E-132;416;
BT_0152;NZ_ABJL02000008.1 Bacteroides intestinalis DSM 17393 B_intestinalis-2.0.1_Cont607, whole genome shotgun sequence;29.242;277;170;6;16;272;2507054;2506242;2.91E-22;101;
BT_0152;NZ_GG688325.1 Bacteroides finegoldii DSM 17565 Scfld8, whole genome shotgun sequence;80.723;249;48;0;16;264;120232;120978;1.25E-131;416;
BT_0152;NZ_DS362240.1 Bacteroides uniformis ATCC 8492 Scfld_3.0.1_23, whole genome shotgun sequence;73.361;244;63;1;21;264;212961;213686;2.76E-127;403;
BT_0152;NZ_ATFI01000008.1 Bacteroides cellulosilyticus WH2 BWH2c8, whole genome shotgun sequence;72.47;247;68;0;18;264;397689;398429;4.53E-126;400;
BT_0152;NZ_EQ973495.1 Bacteroides cellulosilyticus DSM 14838 Scfld9, whole genome shotgun sequence;71.888;249;70;0;16;264;279328;278582;9.34E-126;399;
